"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC12233_2","NCTC13142_2","NCTC13277_2","NCTC13395_2","NCTC13616_2","NCTC1803_2","NCTC4137_2","NCTC6136_2","NCTC7988_2","NCTC9555_2"
"WP_000435068.1","","hypothetical protein","10","10","1","1","4081","","","","197","197","197","5ed739b8eba34d81c44a46f3a235e95d_2696","a6596c4a203e63fb6b02f6e492b61789_2534","635a081118a8dafa9e232517c2cf67f9_2681","ff262237f3470f60d8b7b16b3d58ad2c_2518","14c52b1fad0ff98e5cf49028371d6243_2496","4a58a390596d4900f56ec453eae7d1e7_2059","cc2e0eb80d2c122d721349f05f3eeaf8_2532","46fc0cff5994e5bf181db51ddfa21095_2840","0f07ae81df8f8d06fbc4da89d7ffc57a_2746","8517706599505fe9f8a7a5c896166270_3140"
"WP_000052326.1","","ABC transporter ATP-binding protein","10","10","1","1","2081","","","","773","773","773","5ed739b8eba34d81c44a46f3a235e95d_2824","a6596c4a203e63fb6b02f6e492b61789_2705","635a081118a8dafa9e232517c2cf67f9_2812","ff262237f3470f60d8b7b16b3d58ad2c_2644","14c52b1fad0ff98e5cf49028371d6243_2665","4a58a390596d4900f56ec453eae7d1e7_2188","cc2e0eb80d2c122d721349f05f3eeaf8_2660","46fc0cff5994e5bf181db51ddfa21095_2968","0f07ae81df8f8d06fbc4da89d7ffc57a_2874","8517706599505fe9f8a7a5c896166270_3012"
"ebpS","","elastin-binding protein EbpS","10","10","1","1","958","","","","1451","1463","1459","5ed739b8eba34d81c44a46f3a235e95d_3069","a6596c4a203e63fb6b02f6e492b61789_2910","635a081118a8dafa9e232517c2cf67f9_3017","ff262237f3470f60d8b7b16b3d58ad2c_2889","14c52b1fad0ff98e5cf49028371d6243_2870","4a58a390596d4900f56ec453eae7d1e7_2393","cc2e0eb80d2c122d721349f05f3eeaf8_2865","46fc0cff5994e5bf181db51ddfa21095_3177","0f07ae81df8f8d06fbc4da89d7ffc57a_3079","8517706599505fe9f8a7a5c896166270_2797"
"WP_078061108.1","","ComEA family DNA-binding protein","10","10","1","1","360","","","","686","686","686","5ed739b8eba34d81c44a46f3a235e95d_3293","a6596c4a203e63fb6b02f6e492b61789_3268","635a081118a8dafa9e232517c2cf67f9_3379","ff262237f3470f60d8b7b16b3d58ad2c_3115","14c52b1fad0ff98e5cf49028371d6243_3236","4a58a390596d4900f56ec453eae7d1e7_2607","cc2e0eb80d2c122d721349f05f3eeaf8_3093","46fc0cff5994e5bf181db51ddfa21095_3403","0f07ae81df8f8d06fbc4da89d7ffc57a_3293","8517706599505fe9f8a7a5c896166270_2583"
"WP_001790562.1","","hypothetical protein","10","10","1","1","459","","","","95","122","119","5ed739b8eba34d81c44a46f3a235e95d_3489","a6596c4a203e63fb6b02f6e492b61789_3448","635a081118a8dafa9e232517c2cf67f9_3575","ff262237f3470f60d8b7b16b3d58ad2c_3343","14c52b1fad0ff98e5cf49028371d6243_3416","4a58a390596d4900f56ec453eae7d1e7_2790","cc2e0eb80d2c122d721349f05f3eeaf8_3271","46fc0cff5994e5bf181db51ddfa21095_3581","0f07ae81df8f8d06fbc4da89d7ffc57a_3473","8517706599505fe9f8a7a5c896166270_2403"
"WP_031761395.1","","hypothetical protein","10","10","1","1","501","","","","95","95","95","5ed739b8eba34d81c44a46f3a235e95d_3575","a6596c4a203e63fb6b02f6e492b61789_3530","635a081118a8dafa9e232517c2cf67f9_3659","ff262237f3470f60d8b7b16b3d58ad2c_3431","14c52b1fad0ff98e5cf49028371d6243_3498","4a58a390596d4900f56ec453eae7d1e7_2872","cc2e0eb80d2c122d721349f05f3eeaf8_3357","46fc0cff5994e5bf181db51ddfa21095_3667","0f07ae81df8f8d06fbc4da89d7ffc57a_3555","8517706599505fe9f8a7a5c896166270_2321"
"arsB","","arsenite efflux transporter membrane subunit ArsB","10","10","1","1","644","","","","1292","1292","1292","5ed739b8eba34d81c44a46f3a235e95d_3682","a6596c4a203e63fb6b02f6e492b61789_3637","635a081118a8dafa9e232517c2cf67f9_3774","ff262237f3470f60d8b7b16b3d58ad2c_3538","14c52b1fad0ff98e5cf49028371d6243_3605","4a58a390596d4900f56ec453eae7d1e7_2977","cc2e0eb80d2c122d721349f05f3eeaf8_3462","46fc0cff5994e5bf181db51ddfa21095_3772","0f07ae81df8f8d06fbc4da89d7ffc57a_3660","8517706599505fe9f8a7a5c896166270_2213"
"menC","","o-succinylbenzoate synthase","10","10","1","1","664","","","","1001","1001","1001","5ed739b8eba34d81c44a46f3a235e95d_3725","a6596c4a203e63fb6b02f6e492b61789_3684","635a081118a8dafa9e232517c2cf67f9_3813","ff262237f3470f60d8b7b16b3d58ad2c_3581","14c52b1fad0ff98e5cf49028371d6243_3652","4a58a390596d4900f56ec453eae7d1e7_3016","cc2e0eb80d2c122d721349f05f3eeaf8_3499","46fc0cff5994e5bf181db51ddfa21095_3811","0f07ae81df8f8d06fbc4da89d7ffc57a_3699","8517706599505fe9f8a7a5c896166270_3716"
"WP_000120305.1","","hypothetical protein","10","10","1","1","3819","","","","1214","1265","1247","5ed739b8eba34d81c44a46f3a235e95d_4328","a6596c4a203e63fb6b02f6e492b61789_4298","635a081118a8dafa9e232517c2cf67f9_4406","ff262237f3470f60d8b7b16b3d58ad2c_4351","14c52b1fad0ff98e5cf49028371d6243_4264","4a58a390596d4900f56ec453eae7d1e7_3657","cc2e0eb80d2c122d721349f05f3eeaf8_4094","46fc0cff5994e5bf181db51ddfa21095_4392","0f07ae81df8f8d06fbc4da89d7ffc57a_4364","8517706599505fe9f8a7a5c896166270_4355"
"WP_072353927.1","","YeeE/YedE family protein","10","10","1","1","3800","","","","1028","1079","1058","5ed739b8eba34d81c44a46f3a235e95d_4356","a6596c4a203e63fb6b02f6e492b61789_4330","635a081118a8dafa9e232517c2cf67f9_4432","ff262237f3470f60d8b7b16b3d58ad2c_4379","14c52b1fad0ff98e5cf49028371d6243_4292","4a58a390596d4900f56ec453eae7d1e7_3685","cc2e0eb80d2c122d721349f05f3eeaf8_4122","46fc0cff5994e5bf181db51ddfa21095_4420","0f07ae81df8f8d06fbc4da89d7ffc57a_4392","8517706599505fe9f8a7a5c896166270_4383"
"rsbW","","anti-sigma B factor RsbW","10","10","1","1","3776","","","","347","509","483","5ed739b8eba34d81c44a46f3a235e95d_4415","a6596c4a203e63fb6b02f6e492b61789_4395","635a081118a8dafa9e232517c2cf67f9_4493","ff262237f3470f60d8b7b16b3d58ad2c_4440","14c52b1fad0ff98e5cf49028371d6243_4357","4a58a390596d4900f56ec453eae7d1e7_3749","cc2e0eb80d2c122d721349f05f3eeaf8_4187","46fc0cff5994e5bf181db51ddfa21095_4481","0f07ae81df8f8d06fbc4da89d7ffc57a_4451","8517706599505fe9f8a7a5c896166270_4442"
"WP_000769704.1","","MAP domain-containing protein","10","10","1","1","3620","","","","425","425","425","5ed739b8eba34d81c44a46f3a235e95d_4737","a6596c4a203e63fb6b02f6e492b61789_4711","635a081118a8dafa9e232517c2cf67f9_4811","ff262237f3470f60d8b7b16b3d58ad2c_4758","14c52b1fad0ff98e5cf49028371d6243_4673","4a58a390596d4900f56ec453eae7d1e7_4067","cc2e0eb80d2c122d721349f05f3eeaf8_4497","46fc0cff5994e5bf181db51ddfa21095_4789","0f07ae81df8f8d06fbc4da89d7ffc57a_4763","8517706599505fe9f8a7a5c896166270_4754"
"WP_014532677.1","","hypothetical protein","10","10","1","1","3563","","","","131","140","134","5ed739b8eba34d81c44a46f3a235e95d_4839","a6596c4a203e63fb6b02f6e492b61789_4805","635a081118a8dafa9e232517c2cf67f9_4910","ff262237f3470f60d8b7b16b3d58ad2c_4860","14c52b1fad0ff98e5cf49028371d6243_4767","4a58a390596d4900f56ec453eae7d1e7_4161","cc2e0eb80d2c122d721349f05f3eeaf8_4589","46fc0cff5994e5bf181db51ddfa21095_4891","0f07ae81df8f8d06fbc4da89d7ffc57a_4857","8517706599505fe9f8a7a5c896166270_4848"
"WP_000793174.1","","DUF3021 domain-containing protein","10","10","1","1","3447","","","","455","455","455","5ed739b8eba34d81c44a46f3a235e95d_5062","a6596c4a203e63fb6b02f6e492b61789_5022","635a081118a8dafa9e232517c2cf67f9_5131","ff262237f3470f60d8b7b16b3d58ad2c_5083","14c52b1fad0ff98e5cf49028371d6243_4984","4a58a390596d4900f56ec453eae7d1e7_4380","cc2e0eb80d2c122d721349f05f3eeaf8_4810","46fc0cff5994e5bf181db51ddfa21095_5112","0f07ae81df8f8d06fbc4da89d7ffc57a_5076","8517706599505fe9f8a7a5c896166270_5067"
"WP_000664362.1","","YbgA family protein","10","10","1","1","3430","","","","383","383","383","5ed739b8eba34d81c44a46f3a235e95d_5092","a6596c4a203e63fb6b02f6e492b61789_5060","635a081118a8dafa9e232517c2cf67f9_5169","ff262237f3470f60d8b7b16b3d58ad2c_5113","14c52b1fad0ff98e5cf49028371d6243_5022","4a58a390596d4900f56ec453eae7d1e7_4416","cc2e0eb80d2c122d721349f05f3eeaf8_4840","46fc0cff5994e5bf181db51ddfa21095_5144","0f07ae81df8f8d06fbc4da89d7ffc57a_5112","8517706599505fe9f8a7a5c896166270_5103"
"narJ","","nitrate reductase molybdenum cofactor assembly chaperone","10","10","1","1","3411","","","","575","590","584","5ed739b8eba34d81c44a46f3a235e95d_5124","a6596c4a203e63fb6b02f6e492b61789_5090","635a081118a8dafa9e232517c2cf67f9_5201","ff262237f3470f60d8b7b16b3d58ad2c_5145","14c52b1fad0ff98e5cf49028371d6243_5052","4a58a390596d4900f56ec453eae7d1e7_4451","cc2e0eb80d2c122d721349f05f3eeaf8_4866","46fc0cff5994e5bf181db51ddfa21095_5174","0f07ae81df8f8d06fbc4da89d7ffc57a_5142","8517706599505fe9f8a7a5c896166270_5133"
"WP_000208561.1","","serine hydrolase FLP","10","10","1","1","3359","","","","1496","1499","1497","5ed739b8eba34d81c44a46f3a235e95d_5226","a6596c4a203e63fb6b02f6e492b61789_5192","635a081118a8dafa9e232517c2cf67f9_5301","ff262237f3470f60d8b7b16b3d58ad2c_5247","14c52b1fad0ff98e5cf49028371d6243_5154","4a58a390596d4900f56ec453eae7d1e7_4556","cc2e0eb80d2c122d721349f05f3eeaf8_4970","46fc0cff5994e5bf181db51ddfa21095_5274","0f07ae81df8f8d06fbc4da89d7ffc57a_5242","8517706599505fe9f8a7a5c896166270_5231"
"WP_000072455.1","","hypothetical protein","10","10","1","1","3334","","","","749","749","749","5ed739b8eba34d81c44a46f3a235e95d_5270","a6596c4a203e63fb6b02f6e492b61789_5234","635a081118a8dafa9e232517c2cf67f9_5339","ff262237f3470f60d8b7b16b3d58ad2c_5293","14c52b1fad0ff98e5cf49028371d6243_5196","4a58a390596d4900f56ec453eae7d1e7_4598","cc2e0eb80d2c122d721349f05f3eeaf8_5012","46fc0cff5994e5bf181db51ddfa21095_5316","0f07ae81df8f8d06fbc4da89d7ffc57a_5284","8517706599505fe9f8a7a5c896166270_5273"
"WP_000400032.1","","alpha/beta hydrolase","10","10","1","1","3249","","","","593","593","593","5ed739b8eba34d81c44a46f3a235e95d_5390","a6596c4a203e63fb6b02f6e492b61789_5360","635a081118a8dafa9e232517c2cf67f9_5441","ff262237f3470f60d8b7b16b3d58ad2c_5411","14c52b1fad0ff98e5cf49028371d6243_5322","4a58a390596d4900f56ec453eae7d1e7_4701","cc2e0eb80d2c122d721349f05f3eeaf8_5122","46fc0cff5994e5bf181db51ddfa21095_5434","0f07ae81df8f8d06fbc4da89d7ffc57a_5391","8517706599505fe9f8a7a5c896166270_5380"
"WP_001058981.1","","ATP-dependent Clp protease ATP-binding subunit","10","10","1","1","3213","","","","2105","2117","2108","5ed739b8eba34d81c44a46f3a235e95d_5460","a6596c4a203e63fb6b02f6e492b61789_5428","635a081118a8dafa9e232517c2cf67f9_5503","ff262237f3470f60d8b7b16b3d58ad2c_5481","14c52b1fad0ff98e5cf49028371d6243_5390","4a58a390596d4900f56ec453eae7d1e7_4765","cc2e0eb80d2c122d721349f05f3eeaf8_5186","46fc0cff5994e5bf181db51ddfa21095_5500","0f07ae81df8f8d06fbc4da89d7ffc57a_5455","8517706599505fe9f8a7a5c896166270_5444"
"WP_000136494.1","","sugar O-acetyltransferase","10","10","1","1","3203","","","","599","599","599","5ed739b8eba34d81c44a46f3a235e95d_5476","a6596c4a203e63fb6b02f6e492b61789_5444","635a081118a8dafa9e232517c2cf67f9_5519","ff262237f3470f60d8b7b16b3d58ad2c_5497","14c52b1fad0ff98e5cf49028371d6243_5406","4a58a390596d4900f56ec453eae7d1e7_4781","cc2e0eb80d2c122d721349f05f3eeaf8_5202","46fc0cff5994e5bf181db51ddfa21095_5516","0f07ae81df8f8d06fbc4da89d7ffc57a_5471","8517706599505fe9f8a7a5c896166270_5460"
"crtO","","glycosyl-4,4'-diaponeurosporenoate acyltransferase","10","10","1","1","3193","","","","452","488","484","5ed739b8eba34d81c44a46f3a235e95d_5496","a6596c4a203e63fb6b02f6e492b61789_5464","635a081118a8dafa9e232517c2cf67f9_5539","ff262237f3470f60d8b7b16b3d58ad2c_5517","14c52b1fad0ff98e5cf49028371d6243_5426","4a58a390596d4900f56ec453eae7d1e7_4801","cc2e0eb80d2c122d721349f05f3eeaf8_5222","46fc0cff5994e5bf181db51ddfa21095_5536","0f07ae81df8f8d06fbc4da89d7ffc57a_5491","8517706599505fe9f8a7a5c896166270_5480"
"WP_000055855.1","","DUF2316 family protein","10","10","1","1","3179","","","","299","299","299","5ed739b8eba34d81c44a46f3a235e95d_5520","a6596c4a203e63fb6b02f6e492b61789_5488","635a081118a8dafa9e232517c2cf67f9_5561","ff262237f3470f60d8b7b16b3d58ad2c_5541","14c52b1fad0ff98e5cf49028371d6243_5450","4a58a390596d4900f56ec453eae7d1e7_4823","cc2e0eb80d2c122d721349f05f3eeaf8_5246","46fc0cff5994e5bf181db51ddfa21095_5560","0f07ae81df8f8d06fbc4da89d7ffc57a_5513","8517706599505fe9f8a7a5c896166270_5502"
"WP_000447710.1","","DUF4176 domain-containing protein","10","10","1","1","3169","","","","296","296","296","5ed739b8eba34d81c44a46f3a235e95d_5536","a6596c4a203e63fb6b02f6e492b61789_5506","635a081118a8dafa9e232517c2cf67f9_5577","ff262237f3470f60d8b7b16b3d58ad2c_5557","14c52b1fad0ff98e5cf49028371d6243_5468","4a58a390596d4900f56ec453eae7d1e7_4839","cc2e0eb80d2c122d721349f05f3eeaf8_5262","46fc0cff5994e5bf181db51ddfa21095_5576","0f07ae81df8f8d06fbc4da89d7ffc57a_5529","8517706599505fe9f8a7a5c896166270_5518"
"sasF","","cell-wall-anchored protein SasF","10","10","1","1","3092","","","","1883","1907","1902","5ed739b8eba34d81c44a46f3a235e95d_5676","a6596c4a203e63fb6b02f6e492b61789_5648","635a081118a8dafa9e232517c2cf67f9_5715","ff262237f3470f60d8b7b16b3d58ad2c_5699","14c52b1fad0ff98e5cf49028371d6243_5610","4a58a390596d4900f56ec453eae7d1e7_4975","cc2e0eb80d2c122d721349f05f3eeaf8_5402","46fc0cff5994e5bf181db51ddfa21095_5714","0f07ae81df8f8d06fbc4da89d7ffc57a_5665","8517706599505fe9f8a7a5c896166270_5654"
"WP_000639183.1","","histidinol-phosphate aminotransferase family protein","10","10","1","1","3056","","","","1013","1013","1013","5ed739b8eba34d81c44a46f3a235e95d_5738","a6596c4a203e63fb6b02f6e492b61789_5710","635a081118a8dafa9e232517c2cf67f9_5775","ff262237f3470f60d8b7b16b3d58ad2c_5761","14c52b1fad0ff98e5cf49028371d6243_5672","4a58a390596d4900f56ec453eae7d1e7_5045","cc2e0eb80d2c122d721349f05f3eeaf8_5462","46fc0cff5994e5bf181db51ddfa21095_5776","0f07ae81df8f8d06fbc4da89d7ffc57a_5735","8517706599505fe9f8a7a5c896166270_5726"
"WP_000082559.1","","SMP-30/gluconolactonase/LRE family protein","10","10","1","1","3044","","","","971","971","971","5ed739b8eba34d81c44a46f3a235e95d_5760","a6596c4a203e63fb6b02f6e492b61789_5724","635a081118a8dafa9e232517c2cf67f9_5797","ff262237f3470f60d8b7b16b3d58ad2c_5783","14c52b1fad0ff98e5cf49028371d6243_5686","4a58a390596d4900f56ec453eae7d1e7_5059","cc2e0eb80d2c122d721349f05f3eeaf8_5486","46fc0cff5994e5bf181db51ddfa21095_5798","0f07ae81df8f8d06fbc4da89d7ffc57a_5749","8517706599505fe9f8a7a5c896166270_5740"
"bstA","","bacillithiol transferase BstA","10","10","1","1","3041","","","","464","464","464","5ed739b8eba34d81c44a46f3a235e95d_5770","a6596c4a203e63fb6b02f6e492b61789_5730","635a081118a8dafa9e232517c2cf67f9_5803","ff262237f3470f60d8b7b16b3d58ad2c_5793","14c52b1fad0ff98e5cf49028371d6243_5692","4a58a390596d4900f56ec453eae7d1e7_5065","cc2e0eb80d2c122d721349f05f3eeaf8_5492","46fc0cff5994e5bf181db51ddfa21095_5808","0f07ae81df8f8d06fbc4da89d7ffc57a_5755","8517706599505fe9f8a7a5c896166270_5746"
"WP_075583691.1","","FTR1 family iron permease","10","10","1","1","2263","","","","1682","1712","1694","5ed739b8eba34d81c44a46f3a235e95d_779","a6596c4a203e63fb6b02f6e492b61789_633","635a081118a8dafa9e232517c2cf67f9_678","ff262237f3470f60d8b7b16b3d58ad2c_649","14c52b1fad0ff98e5cf49028371d6243_633","4a58a390596d4900f56ec453eae7d1e7_209","cc2e0eb80d2c122d721349f05f3eeaf8_605","46fc0cff5994e5bf181db51ddfa21095_729","0f07ae81df8f8d06fbc4da89d7ffc57a_743","8517706599505fe9f8a7a5c896166270_741"
"WP_000908952.1","","hypothetical protein","10","10","1","1","1156","","","","602","602","602","5ed739b8eba34d81c44a46f3a235e95d_139","a6596c4a203e63fb6b02f6e492b61789_139","635a081118a8dafa9e232517c2cf67f9_198","ff262237f3470f60d8b7b16b3d58ad2c_143","14c52b1fad0ff98e5cf49028371d6243_139","4a58a390596d4900f56ec453eae7d1e7_5176","cc2e0eb80d2c122d721349f05f3eeaf8_95","46fc0cff5994e5bf181db51ddfa21095_85","0f07ae81df8f8d06fbc4da89d7ffc57a_94","8517706599505fe9f8a7a5c896166270_74"
"sdrE","","MSCRAMM family adhesin SdrE","10","10","1","1","2506","","","","3317","4085","3472","5ed739b8eba34d81c44a46f3a235e95d_1255","a6596c4a203e63fb6b02f6e492b61789_1127","635a081118a8dafa9e232517c2cf67f9_1177","ff262237f3470f60d8b7b16b3d58ad2c_1123","14c52b1fad0ff98e5cf49028371d6243_1091","4a58a390596d4900f56ec453eae7d1e7_700","cc2e0eb80d2c122d721349f05f3eeaf8_1107","46fc0cff5994e5bf181db51ddfa21095_1249","0f07ae81df8f8d06fbc4da89d7ffc57a_1251","8517706599505fe9f8a7a5c896166270_1249"
"WP_000080569.1","","ATPase","10","10","1","1","1157","","","","3152","3152","3152","5ed739b8eba34d81c44a46f3a235e95d_141","a6596c4a203e63fb6b02f6e492b61789_141","635a081118a8dafa9e232517c2cf67f9_200","ff262237f3470f60d8b7b16b3d58ad2c_145","14c52b1fad0ff98e5cf49028371d6243_141","4a58a390596d4900f56ec453eae7d1e7_5174","cc2e0eb80d2c122d721349f05f3eeaf8_97","46fc0cff5994e5bf181db51ddfa21095_87","0f07ae81df8f8d06fbc4da89d7ffc57a_96","8517706599505fe9f8a7a5c896166270_72"
"WP_001075826.1","","amidohydrolase","10","10","1","1","1175","","","","1178","1178","1178","5ed739b8eba34d81c44a46f3a235e95d_157","a6596c4a203e63fb6b02f6e492b61789_157","635a081118a8dafa9e232517c2cf67f9_210","ff262237f3470f60d8b7b16b3d58ad2c_161","14c52b1fad0ff98e5cf49028371d6243_157","4a58a390596d4900f56ec453eae7d1e7_5209","cc2e0eb80d2c122d721349f05f3eeaf8_111","46fc0cff5994e5bf181db51ddfa21095_107","0f07ae81df8f8d06fbc4da89d7ffc57a_109","8517706599505fe9f8a7a5c896166270_109"
"WP_000291833.1","","oleate hydratase","10","10","1","1","1179","","","","1775","1775","1775","5ed739b8eba34d81c44a46f3a235e95d_163","a6596c4a203e63fb6b02f6e492b61789_163","635a081118a8dafa9e232517c2cf67f9_216","ff262237f3470f60d8b7b16b3d58ad2c_167","14c52b1fad0ff98e5cf49028371d6243_163","4a58a390596d4900f56ec453eae7d1e7_5215","cc2e0eb80d2c122d721349f05f3eeaf8_119","46fc0cff5994e5bf181db51ddfa21095_113","0f07ae81df8f8d06fbc4da89d7ffc57a_115","8517706599505fe9f8a7a5c896166270_115"
"WP_000469825.1","","ImmA/IrrE family metallo-endopeptidase","10","10","1","1","1223","","","","203","1175","787","5ed739b8eba34d81c44a46f3a235e95d_245","a6596c4a203e63fb6b02f6e492b61789_241","635a081118a8dafa9e232517c2cf67f9_294","ff262237f3470f60d8b7b16b3d58ad2c_249","14c52b1fad0ff98e5cf49028371d6243_241","4a58a390596d4900f56ec453eae7d1e7_5293","cc2e0eb80d2c122d721349f05f3eeaf8_203","46fc0cff5994e5bf181db51ddfa21095_195","0f07ae81df8f8d06fbc4da89d7ffc57a_193","8517706599505fe9f8a7a5c896166270_193"
