"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10317_2","NCTC11359_2","NCTC11698_2","NCTC13635_2","NCTC418_2","NCTC9157_2","NCTC9171_2","NCTC9667_2","NCTC9793_2","NFYY0065_2"
"WP_002888373.1","","DedA family protein","10","10","1","1","2060","","","","767","768","767","8777fb3be99985d899573c6a12a3dd51_8570","82cb54a66be23676d92c45561410fc22_8401","71b4f8e38d314b58d2a15397a624f579_8734","cf72a3ad6e3d2448b8ff3941fa28861f_7096","d90f2a772ef9bba7f6f75c33978b075a_9354","53c9d146af329787812b2e1790bf32a4_8740","437f59dc9dcfa09ce2d50a324ebaf4a8_8549","d00c3ca4aa2df69f978eefbbe3fb03e7_9486","1304c761f7edd07127d4c6b6f249f721_6316","f8019d7ff0b2507577fd8d830299c3cc_235"
"WP_004146984.1","","hypothetical protein","10","10","1","1","2116","","","","128","140","138","8777fb3be99985d899573c6a12a3dd51_8681","82cb54a66be23676d92c45561410fc22_8512","71b4f8e38d314b58d2a15397a624f579_8879","cf72a3ad6e3d2448b8ff3941fa28861f_6976","d90f2a772ef9bba7f6f75c33978b075a_9487","53c9d146af329787812b2e1790bf32a4_8859","437f59dc9dcfa09ce2d50a324ebaf4a8_8681","d00c3ca4aa2df69f978eefbbe3fb03e7_9375","1304c761f7edd07127d4c6b6f249f721_6453","f8019d7ff0b2507577fd8d830299c3cc_94"
"rimI","","ribosomal protein S18-alanine N-acetyltransferase","10","10","1","1","2142","","","","446","446","446","8777fb3be99985d899573c6a12a3dd51_8737","82cb54a66be23676d92c45561410fc22_8568","71b4f8e38d314b58d2a15397a624f579_8935","cf72a3ad6e3d2448b8ff3941fa28861f_6918","d90f2a772ef9bba7f6f75c33978b075a_9543","53c9d146af329787812b2e1790bf32a4_8915","437f59dc9dcfa09ce2d50a324ebaf4a8_8737","d00c3ca4aa2df69f978eefbbe3fb03e7_9319","1304c761f7edd07127d4c6b6f249f721_6509","f8019d7ff0b2507577fd8d830299c3cc_38"
"WP_002887654.1","","DUF1435 domain-containing protein","10","10","1","1","2145","","","","239","302","245","8777fb3be99985d899573c6a12a3dd51_8752","82cb54a66be23676d92c45561410fc22_8583","71b4f8e38d314b58d2a15397a624f579_8950","cf72a3ad6e3d2448b8ff3941fa28861f_6903","d90f2a772ef9bba7f6f75c33978b075a_9558","53c9d146af329787812b2e1790bf32a4_8930","437f59dc9dcfa09ce2d50a324ebaf4a8_8752","d00c3ca4aa2df69f978eefbbe3fb03e7_9304","1304c761f7edd07127d4c6b6f249f721_6524","f8019d7ff0b2507577fd8d830299c3cc_23"
"WP_004178531.1","","SIS domain-containing protein","10","10","1","1","2171","","","","1010","1031","1018","8777fb3be99985d899573c6a12a3dd51_8784","82cb54a66be23676d92c45561410fc22_8617","71b4f8e38d314b58d2a15397a624f579_8984","cf72a3ad6e3d2448b8ff3941fa28861f_6869","d90f2a772ef9bba7f6f75c33978b075a_9592","53c9d146af329787812b2e1790bf32a4_8964","437f59dc9dcfa09ce2d50a324ebaf4a8_8784","d00c3ca4aa2df69f978eefbbe3fb03e7_9272","1304c761f7edd07127d4c6b6f249f721_6558","f8019d7ff0b2507577fd8d830299c3cc_10448"
"WP_002887606.1","","PTS sugar transporter subunit IIA","10","10","1","1","2176","","","","422","422","422","8777fb3be99985d899573c6a12a3dd51_8794","82cb54a66be23676d92c45561410fc22_8627","71b4f8e38d314b58d2a15397a624f579_8994","cf72a3ad6e3d2448b8ff3941fa28861f_6859","d90f2a772ef9bba7f6f75c33978b075a_9602","53c9d146af329787812b2e1790bf32a4_8974","437f59dc9dcfa09ce2d50a324ebaf4a8_8794","d00c3ca4aa2df69f978eefbbe3fb03e7_9262","1304c761f7edd07127d4c6b6f249f721_6568","f8019d7ff0b2507577fd8d830299c3cc_10438"
"WP_004220096.1","","hypothetical protein","10","10","1","1","3555","","","","167","218","187","8777fb3be99985d899573c6a12a3dd51_4549","82cb54a66be23676d92c45561410fc22_4581","71b4f8e38d314b58d2a15397a624f579_4739","cf72a3ad6e3d2448b8ff3941fa28861f_10595","d90f2a772ef9bba7f6f75c33978b075a_5299","53c9d146af329787812b2e1790bf32a4_4598","437f59dc9dcfa09ce2d50a324ebaf4a8_4533","d00c3ca4aa2df69f978eefbbe3fb03e7_3108","1304c761f7edd07127d4c6b6f249f721_2339","f8019d7ff0b2507577fd8d830299c3cc_4224"
"WP_002887454.1","","carbon starvation protein A","10","10","1","1","2217","","","","239","2150","1958","8777fb3be99985d899573c6a12a3dd51_8864","82cb54a66be23676d92c45561410fc22_8693","71b4f8e38d314b58d2a15397a624f579_9054","cf72a3ad6e3d2448b8ff3941fa28861f_6791","d90f2a772ef9bba7f6f75c33978b075a_9662","53c9d146af329787812b2e1790bf32a4_9034","437f59dc9dcfa09ce2d50a324ebaf4a8_8852","d00c3ca4aa2df69f978eefbbe3fb03e7_9202","1304c761f7edd07127d4c6b6f249f721_6628","f8019d7ff0b2507577fd8d830299c3cc_10378"
"WP_002887414.1","","2-hydroxyacyl-CoA dehydratase subunit D","10","10","1","1","2226","","","","200","1151","1055","8777fb3be99985d899573c6a12a3dd51_8886","82cb54a66be23676d92c45561410fc22_8715","71b4f8e38d314b58d2a15397a624f579_9076","cf72a3ad6e3d2448b8ff3941fa28861f_6765","d90f2a772ef9bba7f6f75c33978b075a_9684","53c9d146af329787812b2e1790bf32a4_9056","437f59dc9dcfa09ce2d50a324ebaf4a8_8876","d00c3ca4aa2df69f978eefbbe3fb03e7_9176","1304c761f7edd07127d4c6b6f249f721_6650","f8019d7ff0b2507577fd8d830299c3cc_10354"
"WP_023343050.1","","Cu(+)/Ag(+) sensor histidine kinase","10","10","1","1","2268","","","","1433","1433","1433","8777fb3be99985d899573c6a12a3dd51_8944","82cb54a66be23676d92c45561410fc22_8773","71b4f8e38d314b58d2a15397a624f579_9134","cf72a3ad6e3d2448b8ff3941fa28861f_6701","d90f2a772ef9bba7f6f75c33978b075a_9742","53c9d146af329787812b2e1790bf32a4_9124","437f59dc9dcfa09ce2d50a324ebaf4a8_8946","d00c3ca4aa2df69f978eefbbe3fb03e7_9116","1304c761f7edd07127d4c6b6f249f721_6732","f8019d7ff0b2507577fd8d830299c3cc_10294"
"WP_004152275.1","","GNAT family N-acetyltransferase","10","10","1","1","5217","","","","503","506","503","8777fb3be99985d899573c6a12a3dd51_9067","82cb54a66be23676d92c45561410fc22_8897","71b4f8e38d314b58d2a15397a624f579_9261","cf72a3ad6e3d2448b8ff3941fa28861f_6612","d90f2a772ef9bba7f6f75c33978b075a_9910","53c9d146af329787812b2e1790bf32a4_9313","437f59dc9dcfa09ce2d50a324ebaf4a8_9117","d00c3ca4aa2df69f978eefbbe3fb03e7_8965","1304c761f7edd07127d4c6b6f249f721_6863","f8019d7ff0b2507577fd8d830299c3cc_10137"
"WP_023302388.1","","DgaE family pyridoxal phosphate-dependent ammonia lyase","10","10","1","1","5186","","","","1118","1118","1118","8777fb3be99985d899573c6a12a3dd51_9115","82cb54a66be23676d92c45561410fc22_8957","71b4f8e38d314b58d2a15397a624f579_9311","cf72a3ad6e3d2448b8ff3941fa28861f_6552","d90f2a772ef9bba7f6f75c33978b075a_9970","53c9d146af329787812b2e1790bf32a4_9363","437f59dc9dcfa09ce2d50a324ebaf4a8_9165","d00c3ca4aa2df69f978eefbbe3fb03e7_8913","1304c761f7edd07127d4c6b6f249f721_6923","f8019d7ff0b2507577fd8d830299c3cc_10085"
"WP_004152267.1","","DUF4310 family protein","10","10","1","1","5184","","","","632","644","642","8777fb3be99985d899573c6a12a3dd51_9119","82cb54a66be23676d92c45561410fc22_8961","71b4f8e38d314b58d2a15397a624f579_9315","cf72a3ad6e3d2448b8ff3941fa28861f_6548","d90f2a772ef9bba7f6f75c33978b075a_9974","53c9d146af329787812b2e1790bf32a4_9367","437f59dc9dcfa09ce2d50a324ebaf4a8_9169","d00c3ca4aa2df69f978eefbbe3fb03e7_8909","1304c761f7edd07127d4c6b6f249f721_6927","f8019d7ff0b2507577fd8d830299c3cc_10081"
"WP_002906893.1","","hypothetical protein","10","10","1","1","3564","","","","251","251","251","8777fb3be99985d899573c6a12a3dd51_4579","82cb54a66be23676d92c45561410fc22_4611","71b4f8e38d314b58d2a15397a624f579_4769","cf72a3ad6e3d2448b8ff3941fa28861f_10625","d90f2a772ef9bba7f6f75c33978b075a_5329","53c9d146af329787812b2e1790bf32a4_4628","437f59dc9dcfa09ce2d50a324ebaf4a8_4563","d00c3ca4aa2df69f978eefbbe3fb03e7_3078","1304c761f7edd07127d4c6b6f249f721_2369","f8019d7ff0b2507577fd8d830299c3cc_4194"
"WP_002886895.1","","hypothetical protein","10","10","1","1","5181","","","","350","362","360","8777fb3be99985d899573c6a12a3dd51_9125","82cb54a66be23676d92c45561410fc22_8967","71b4f8e38d314b58d2a15397a624f579_9321","cf72a3ad6e3d2448b8ff3941fa28861f_6542","d90f2a772ef9bba7f6f75c33978b075a_9980","53c9d146af329787812b2e1790bf32a4_9373","437f59dc9dcfa09ce2d50a324ebaf4a8_9175","d00c3ca4aa2df69f978eefbbe3fb03e7_8903","1304c761f7edd07127d4c6b6f249f721_6933","f8019d7ff0b2507577fd8d830299c3cc_10075"
"mpl","","UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase","10","10","1","1","5172","","","","1373","1379","1373","8777fb3be99985d899573c6a12a3dd51_9139","82cb54a66be23676d92c45561410fc22_8985","71b4f8e38d314b58d2a15397a624f579_9339","cf72a3ad6e3d2448b8ff3941fa28861f_6528","d90f2a772ef9bba7f6f75c33978b075a_9996","53c9d146af329787812b2e1790bf32a4_9389","437f59dc9dcfa09ce2d50a324ebaf4a8_9189","d00c3ca4aa2df69f978eefbbe3fb03e7_8889","1304c761f7edd07127d4c6b6f249f721_6952","f8019d7ff0b2507577fd8d830299c3cc_10057"
"WP_002886724.1","","gamma-glutamylcyclotransferase","10","10","1","1","5165","","","","272","344","336","8777fb3be99985d899573c6a12a3dd51_9155","82cb54a66be23676d92c45561410fc22_9001","71b4f8e38d314b58d2a15397a624f579_9355","cf72a3ad6e3d2448b8ff3941fa28861f_6510","d90f2a772ef9bba7f6f75c33978b075a_10014","53c9d146af329787812b2e1790bf32a4_9407","437f59dc9dcfa09ce2d50a324ebaf4a8_9209","d00c3ca4aa2df69f978eefbbe3fb03e7_8873","1304c761f7edd07127d4c6b6f249f721_6968","f8019d7ff0b2507577fd8d830299c3cc_10039"
"WP_002886699.1","","AraC family transcriptional regulator","10","10","1","1","5152","","","","824","824","824","8777fb3be99985d899573c6a12a3dd51_9179","82cb54a66be23676d92c45561410fc22_9025","71b4f8e38d314b58d2a15397a624f579_9383","cf72a3ad6e3d2448b8ff3941fa28861f_6482","d90f2a772ef9bba7f6f75c33978b075a_10042","53c9d146af329787812b2e1790bf32a4_9435","437f59dc9dcfa09ce2d50a324ebaf4a8_9237","d00c3ca4aa2df69f978eefbbe3fb03e7_8845","1304c761f7edd07127d4c6b6f249f721_6996","f8019d7ff0b2507577fd8d830299c3cc_10011"
"priB","","primosomal replication protein N","10","10","1","1","5144","","","","227","314","305","8777fb3be99985d899573c6a12a3dd51_9195","82cb54a66be23676d92c45561410fc22_9041","71b4f8e38d314b58d2a15397a624f579_9413","cf72a3ad6e3d2448b8ff3941fa28861f_6466","d90f2a772ef9bba7f6f75c33978b075a_10058","53c9d146af329787812b2e1790bf32a4_9451","437f59dc9dcfa09ce2d50a324ebaf4a8_9253","d00c3ca4aa2df69f978eefbbe3fb03e7_8829","1304c761f7edd07127d4c6b6f249f721_7012","f8019d7ff0b2507577fd8d830299c3cc_9995"
"WP_004177693.1","","MFS transporter","10","10","1","1","5141","","","","1193","1193","1193","8777fb3be99985d899573c6a12a3dd51_9201","82cb54a66be23676d92c45561410fc22_9047","71b4f8e38d314b58d2a15397a624f579_9419","cf72a3ad6e3d2448b8ff3941fa28861f_6460","d90f2a772ef9bba7f6f75c33978b075a_10064","53c9d146af329787812b2e1790bf32a4_9457","437f59dc9dcfa09ce2d50a324ebaf4a8_9259","d00c3ca4aa2df69f978eefbbe3fb03e7_8823","1304c761f7edd07127d4c6b6f249f721_7018","f8019d7ff0b2507577fd8d830299c3cc_9989"
"WP_004210671.1","","L-ribulose-5-phosphate 3-epimerase","10","10","1","1","5139","","","","854","854","854","8777fb3be99985d899573c6a12a3dd51_9205","82cb54a66be23676d92c45561410fc22_9051","71b4f8e38d314b58d2a15397a624f579_9423","cf72a3ad6e3d2448b8ff3941fa28861f_6456","d90f2a772ef9bba7f6f75c33978b075a_10068","53c9d146af329787812b2e1790bf32a4_9461","437f59dc9dcfa09ce2d50a324ebaf4a8_9263","d00c3ca4aa2df69f978eefbbe3fb03e7_8819","1304c761f7edd07127d4c6b6f249f721_7022","f8019d7ff0b2507577fd8d830299c3cc_9985"
"ulaR","","HTH-type transcriptional regulator UlaR","10","10","1","1","5132","","","","755","758","755","8777fb3be99985d899573c6a12a3dd51_9217","82cb54a66be23676d92c45561410fc22_9063","71b4f8e38d314b58d2a15397a624f579_9435","cf72a3ad6e3d2448b8ff3941fa28861f_6444","d90f2a772ef9bba7f6f75c33978b075a_10080","53c9d146af329787812b2e1790bf32a4_9473","437f59dc9dcfa09ce2d50a324ebaf4a8_9275","d00c3ca4aa2df69f978eefbbe3fb03e7_8807","1304c761f7edd07127d4c6b6f249f721_7034","f8019d7ff0b2507577fd8d830299c3cc_9973"
"tsaE","","tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","10","10","1","1","5107","","","","449","461","453","8777fb3be99985d899573c6a12a3dd51_9265","82cb54a66be23676d92c45561410fc22_9099","71b4f8e38d314b58d2a15397a624f579_9473","cf72a3ad6e3d2448b8ff3941fa28861f_6408","d90f2a772ef9bba7f6f75c33978b075a_10116","53c9d146af329787812b2e1790bf32a4_9511","437f59dc9dcfa09ce2d50a324ebaf4a8_9311","d00c3ca4aa2df69f978eefbbe3fb03e7_8771","1304c761f7edd07127d4c6b6f249f721_7082","f8019d7ff0b2507577fd8d830299c3cc_9935"
"fxsA","","membrane protein FxsA","10","10","1","1","5050","","","","476","491","482","8777fb3be99985d899573c6a12a3dd51_9342","82cb54a66be23676d92c45561410fc22_9174","71b4f8e38d314b58d2a15397a624f579_9548","cf72a3ad6e3d2448b8ff3941fa28861f_6331","d90f2a772ef9bba7f6f75c33978b075a_10193","53c9d146af329787812b2e1790bf32a4_9586","437f59dc9dcfa09ce2d50a324ebaf4a8_9388","d00c3ca4aa2df69f978eefbbe3fb03e7_8694","1304c761f7edd07127d4c6b6f249f721_7157","f8019d7ff0b2507577fd8d830299c3cc_9860"
"WP_004153693.1","","PerC family transcriptional regulator","10","10","1","1","5043","","","","272","290","288","8777fb3be99985d899573c6a12a3dd51_9367","82cb54a66be23676d92c45561410fc22_9191","71b4f8e38d314b58d2a15397a624f579_9567","cf72a3ad6e3d2448b8ff3941fa28861f_6312","d90f2a772ef9bba7f6f75c33978b075a_10212","53c9d146af329787812b2e1790bf32a4_9611","437f59dc9dcfa09ce2d50a324ebaf4a8_9407","d00c3ca4aa2df69f978eefbbe3fb03e7_8661","1304c761f7edd07127d4c6b6f249f721_7183","f8019d7ff0b2507577fd8d830299c3cc_9841"
"WP_004177786.1","","carbon-phosphorus lyase complex subunit PhnI","10","10","1","1","1345","","","","1047","1064","1062","8777fb3be99985d899573c6a12a3dd51_9413","82cb54a66be23676d92c45561410fc22_9239","71b4f8e38d314b58d2a15397a624f579_9619","cf72a3ad6e3d2448b8ff3941fa28861f_6260","d90f2a772ef9bba7f6f75c33978b075a_10260","53c9d146af329787812b2e1790bf32a4_9664","437f59dc9dcfa09ce2d50a324ebaf4a8_9453","d00c3ca4aa2df69f978eefbbe3fb03e7_8615","1304c761f7edd07127d4c6b6f249f721_7234","f8019d7ff0b2507577fd8d830299c3cc_9791"
"phnL","","phosphonate C-P lyase system protein PhnL","10","10","1","1","1348","","","","670","680","679","8777fb3be99985d899573c6a12a3dd51_9419","82cb54a66be23676d92c45561410fc22_9245","71b4f8e38d314b58d2a15397a624f579_9625","cf72a3ad6e3d2448b8ff3941fa28861f_6254","d90f2a772ef9bba7f6f75c33978b075a_10266","53c9d146af329787812b2e1790bf32a4_9670","437f59dc9dcfa09ce2d50a324ebaf4a8_9459","d00c3ca4aa2df69f978eefbbe3fb03e7_8609","1304c761f7edd07127d4c6b6f249f721_7240","f8019d7ff0b2507577fd8d830299c3cc_9785"
"WP_004143718.1","","general stress protein","10","10","1","1","3630","","","","119","185","178","8777fb3be99985d899573c6a12a3dd51_4745","82cb54a66be23676d92c45561410fc22_4777","71b4f8e38d314b58d2a15397a624f579_4927","cf72a3ad6e3d2448b8ff3941fa28861f_143","d90f2a772ef9bba7f6f75c33978b075a_5487","53c9d146af329787812b2e1790bf32a4_4800","437f59dc9dcfa09ce2d50a324ebaf4a8_4729","d00c3ca4aa2df69f978eefbbe3fb03e7_2912","1304c761f7edd07127d4c6b6f249f721_2527","f8019d7ff0b2507577fd8d830299c3cc_4024"
"WP_004146634.1","","potassium:proton antiporter","10","10","1","1","1390","","","","230","230","230","8777fb3be99985d899573c6a12a3dd51_9511","82cb54a66be23676d92c45561410fc22_9335","71b4f8e38d314b58d2a15397a624f579_9719","cf72a3ad6e3d2448b8ff3941fa28861f_6210","d90f2a772ef9bba7f6f75c33978b075a_10354","53c9d146af329787812b2e1790bf32a4_9762","437f59dc9dcfa09ce2d50a324ebaf4a8_9551","d00c3ca4aa2df69f978eefbbe3fb03e7_8517","1304c761f7edd07127d4c6b6f249f721_7328","f8019d7ff0b2507577fd8d830299c3cc_9695"
"WP_002884819.1","","diacylglycerol kinase","10","10","1","1","5364","","","","368","369","368","8777fb3be99985d899573c6a12a3dd51_9553","82cb54a66be23676d92c45561410fc22_9379","71b4f8e38d314b58d2a15397a624f579_9809","cf72a3ad6e3d2448b8ff3941fa28861f_6164","d90f2a772ef9bba7f6f75c33978b075a_10398","53c9d146af329787812b2e1790bf32a4_9810","437f59dc9dcfa09ce2d50a324ebaf4a8_9593","d00c3ca4aa2df69f978eefbbe3fb03e7_8475","1304c761f7edd07127d4c6b6f249f721_7372","f8019d7ff0b2507577fd8d830299c3cc_9647"
"WP_002884625.1","","DUF3811 domain-containing protein","10","10","1","1","5339","","","","272","272","272","8777fb3be99985d899573c6a12a3dd51_9593","82cb54a66be23676d92c45561410fc22_9421","71b4f8e38d314b58d2a15397a624f579_9849","cf72a3ad6e3d2448b8ff3941fa28861f_6118","d90f2a772ef9bba7f6f75c33978b075a_10438","53c9d146af329787812b2e1790bf32a4_9850","437f59dc9dcfa09ce2d50a324ebaf4a8_9633","d00c3ca4aa2df69f978eefbbe3fb03e7_8435","1304c761f7edd07127d4c6b6f249f721_7412","f8019d7ff0b2507577fd8d830299c3cc_9607"
"rplJ","","50S ribosomal protein L10","10","10","1","1","3041","","","","467","497","494","8777fb3be99985d899573c6a12a3dd51_9694","82cb54a66be23676d92c45561410fc22_9520","71b4f8e38d314b58d2a15397a624f579_9934","cf72a3ad6e3d2448b8ff3941fa28861f_4620","d90f2a772ef9bba7f6f75c33978b075a_10537","53c9d146af329787812b2e1790bf32a4_9935","437f59dc9dcfa09ce2d50a324ebaf4a8_9728","d00c3ca4aa2df69f978eefbbe3fb03e7_8334","1304c761f7edd07127d4c6b6f249f721_7511","f8019d7ff0b2507577fd8d830299c3cc_9522"
