"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10047_2","NCTC10080_2","NCTC10436_2","NCTC13175_2","NCTC4840_2","NCTC5706_2","NCTC5716_2","NCTC5741_2","NCTC5791_2","NCTC6017_2"
"bioH","","pimeloyl-ACP methyl ester esterase BioH","10","10","1","1","5882","","","","770","770","770","4faf440b7ae03605f2bb8c219a1cbecd_654","3a4164c7505bb5d25b67cc08b6e6c176_682","1d003073a6ba14d334cd248f59261d0c_685","8c337c75870066c7edf421eabf2a3849_683","489654d668b099aba1108a156a10fb33_726","e2beb81cc53f5f2dca879fc3cbafdbb5_671","3769ff932ef4964888ed10339eca08e9_665","34b0a8d969f18b9f4b245d9e2e270fbf_8118","f73384227e558735e4d06d33f21c4335_679","2429ebe1b70a7dc44da671065d2f1e2f_701"
"hslO","","Hsp33 family molecular chaperone HslO","10","10","1","1","5869","","","","878","878","878","4faf440b7ae03605f2bb8c219a1cbecd_782","3a4164c7505bb5d25b67cc08b6e6c176_704","1d003073a6ba14d334cd248f59261d0c_707","8c337c75870066c7edf421eabf2a3849_705","489654d668b099aba1108a156a10fb33_748","e2beb81cc53f5f2dca879fc3cbafdbb5_693","3769ff932ef4964888ed10339eca08e9_687","34b0a8d969f18b9f4b245d9e2e270fbf_8096","f73384227e558735e4d06d33f21c4335_701","2429ebe1b70a7dc44da671065d2f1e2f_723"
"WP_001007735.1","","YheV family putative metal-binding protein","10","10","1","1","5824","","","","200","200","200","4faf440b7ae03605f2bb8c219a1cbecd_882","3a4164c7505bb5d25b67cc08b6e6c176_786","1d003073a6ba14d334cd248f59261d0c_809","8c337c75870066c7edf421eabf2a3849_787","489654d668b099aba1108a156a10fb33_830","e2beb81cc53f5f2dca879fc3cbafdbb5_775","3769ff932ef4964888ed10339eca08e9_769","34b0a8d969f18b9f4b245d9e2e270fbf_8014","f73384227e558735e4d06d33f21c4335_783","2429ebe1b70a7dc44da671065d2f1e2f_807"
"rpsG","","30S ribosomal protein S7","10","10","1","1","7471","","","","470","491","472","4faf440b7ae03605f2bb8c219a1cbecd_900","3a4164c7505bb5d25b67cc08b6e6c176_804","1d003073a6ba14d334cd248f59261d0c_827","8c337c75870066c7edf421eabf2a3849_805","489654d668b099aba1108a156a10fb33_848","e2beb81cc53f5f2dca879fc3cbafdbb5_797","3769ff932ef4964888ed10339eca08e9_787","34b0a8d969f18b9f4b245d9e2e270fbf_7996","f73384227e558735e4d06d33f21c4335_801","2429ebe1b70a7dc44da671065d2f1e2f_825"
"rpsS","","30S ribosomal protein S19","10","10","1","1","7482","","","","278","308","281","4faf440b7ae03605f2bb8c219a1cbecd_922","3a4164c7505bb5d25b67cc08b6e6c176_826","1d003073a6ba14d334cd248f59261d0c_849","8c337c75870066c7edf421eabf2a3849_827","489654d668b099aba1108a156a10fb33_870","e2beb81cc53f5f2dca879fc3cbafdbb5_819","3769ff932ef4964888ed10339eca08e9_809","34b0a8d969f18b9f4b245d9e2e270fbf_7974","f73384227e558735e4d06d33f21c4335_823","2429ebe1b70a7dc44da671065d2f1e2f_847"
"fmt","","methionyl-tRNA formyltransferase","10","10","1","1","7512","","","","947","953","947","4faf440b7ae03605f2bb8c219a1cbecd_982","3a4164c7505bb5d25b67cc08b6e6c176_884","1d003073a6ba14d334cd248f59261d0c_907","8c337c75870066c7edf421eabf2a3849_885","489654d668b099aba1108a156a10fb33_928","e2beb81cc53f5f2dca879fc3cbafdbb5_877","3769ff932ef4964888ed10339eca08e9_867","34b0a8d969f18b9f4b245d9e2e270fbf_7916","f73384227e558735e4d06d33f21c4335_881","2429ebe1b70a7dc44da671065d2f1e2f_905"
"WP_001285635.1","","gamma carbonic anhydrase family protein","10","10","1","1","7523","","","","554","554","554","4faf440b7ae03605f2bb8c219a1cbecd_998","3a4164c7505bb5d25b67cc08b6e6c176_900","1d003073a6ba14d334cd248f59261d0c_923","8c337c75870066c7edf421eabf2a3849_901","489654d668b099aba1108a156a10fb33_944","e2beb81cc53f5f2dca879fc3cbafdbb5_893","3769ff932ef4964888ed10339eca08e9_883","34b0a8d969f18b9f4b245d9e2e270fbf_7900","f73384227e558735e4d06d33f21c4335_897","2429ebe1b70a7dc44da671065d2f1e2f_921"
"WP_000160383.1","","efflux RND transporter periplasmic adaptor subunit","10","10","1","1","7526","","","","1157","1157","1157","4faf440b7ae03605f2bb8c219a1cbecd_1024","3a4164c7505bb5d25b67cc08b6e6c176_924","1d003073a6ba14d334cd248f59261d0c_947","8c337c75870066c7edf421eabf2a3849_927","489654d668b099aba1108a156a10fb33_968","e2beb81cc53f5f2dca879fc3cbafdbb5_919","3769ff932ef4964888ed10339eca08e9_907","34b0a8d969f18b9f4b245d9e2e270fbf_7874","f73384227e558735e4d06d33f21c4335_924","2429ebe1b70a7dc44da671065d2f1e2f_945"
"fis","","DNA-binding transcriptional regulator Fis","10","10","1","1","7531","","","","296","311","297","4faf440b7ae03605f2bb8c219a1cbecd_1034","3a4164c7505bb5d25b67cc08b6e6c176_934","1d003073a6ba14d334cd248f59261d0c_957","8c337c75870066c7edf421eabf2a3849_937","489654d668b099aba1108a156a10fb33_978","e2beb81cc53f5f2dca879fc3cbafdbb5_929","3769ff932ef4964888ed10339eca08e9_917","34b0a8d969f18b9f4b245d9e2e270fbf_7864","f73384227e558735e4d06d33f21c4335_934","2429ebe1b70a7dc44da671065d2f1e2f_955"
"aaeR","","HTH-type transcriptional activator AaeR","10","10","1","1","7549","","","","929","929","929","4faf440b7ae03605f2bb8c219a1cbecd_1072","3a4164c7505bb5d25b67cc08b6e6c176_972","1d003073a6ba14d334cd248f59261d0c_997","8c337c75870066c7edf421eabf2a3849_975","489654d668b099aba1108a156a10fb33_1016","e2beb81cc53f5f2dca879fc3cbafdbb5_967","3769ff932ef4964888ed10339eca08e9_957","34b0a8d969f18b9f4b245d9e2e270fbf_7828","f73384227e558735e4d06d33f21c4335_972","2429ebe1b70a7dc44da671065d2f1e2f_993"
"degQ","","serine endoprotease DegQ","10","10","1","1","7613","","","","1286","1367","1358","4faf440b7ae03605f2bb8c219a1cbecd_1092","3a4164c7505bb5d25b67cc08b6e6c176_1010","1d003073a6ba14d334cd248f59261d0c_1017","8c337c75870066c7edf421eabf2a3849_1013","489654d668b099aba1108a156a10fb33_1054","e2beb81cc53f5f2dca879fc3cbafdbb5_1005","3769ff932ef4964888ed10339eca08e9_995","34b0a8d969f18b9f4b245d9e2e270fbf_7790","f73384227e558735e4d06d33f21c4335_1010","2429ebe1b70a7dc44da671065d2f1e2f_1035"
"WP_001519074.1","","DUF1043 family protein","10","10","1","1","7612","","","","397","398","397","4faf440b7ae03605f2bb8c219a1cbecd_1094","3a4164c7505bb5d25b67cc08b6e6c176_1012","1d003073a6ba14d334cd248f59261d0c_1019","8c337c75870066c7edf421eabf2a3849_1015","489654d668b099aba1108a156a10fb33_1056","e2beb81cc53f5f2dca879fc3cbafdbb5_1007","3769ff932ef4964888ed10339eca08e9_997","34b0a8d969f18b9f4b245d9e2e270fbf_7788","f73384227e558735e4d06d33f21c4335_1012","2429ebe1b70a7dc44da671065d2f1e2f_1037"
"zapE","","cell division protein ZapE","10","10","1","1","7611","","","","1124","1124","1124","4faf440b7ae03605f2bb8c219a1cbecd_1096","3a4164c7505bb5d25b67cc08b6e6c176_1014","1d003073a6ba14d334cd248f59261d0c_1021","8c337c75870066c7edf421eabf2a3849_1017","489654d668b099aba1108a156a10fb33_1058","e2beb81cc53f5f2dca879fc3cbafdbb5_1009","3769ff932ef4964888ed10339eca08e9_999","34b0a8d969f18b9f4b245d9e2e270fbf_7786","f73384227e558735e4d06d33f21c4335_1014","2429ebe1b70a7dc44da671065d2f1e2f_1039"
"nanA","","N-acetylneuraminate lyase","10","10","1","1","7604","","","","893","894","893","4faf440b7ae03605f2bb8c219a1cbecd_1108","3a4164c7505bb5d25b67cc08b6e6c176_1028","1d003073a6ba14d334cd248f59261d0c_1033","8c337c75870066c7edf421eabf2a3849_1029","489654d668b099aba1108a156a10fb33_1070","e2beb81cc53f5f2dca879fc3cbafdbb5_1021","3769ff932ef4964888ed10339eca08e9_1011","34b0a8d969f18b9f4b245d9e2e270fbf_7772","f73384227e558735e4d06d33f21c4335_1026","2429ebe1b70a7dc44da671065d2f1e2f_1051"
"WP_001176887.1","","TIGR01212 family radical SAM protein","10","10","1","1","7598","","","","929","929","929","4faf440b7ae03605f2bb8c219a1cbecd_1128","3a4164c7505bb5d25b67cc08b6e6c176_1048","1d003073a6ba14d334cd248f59261d0c_1067","8c337c75870066c7edf421eabf2a3849_1049","489654d668b099aba1108a156a10fb33_1090","e2beb81cc53f5f2dca879fc3cbafdbb5_1041","3769ff932ef4964888ed10339eca08e9_1031","34b0a8d969f18b9f4b245d9e2e270fbf_7752","f73384227e558735e4d06d33f21c4335_1046","2429ebe1b70a7dc44da671065d2f1e2f_1073"
"kdsC","","3-deoxy-manno-octulosonate-8-phosphatase KdsC","10","10","1","1","7583","","","","566","566","566","4faf440b7ae03605f2bb8c219a1cbecd_1154","3a4164c7505bb5d25b67cc08b6e6c176_1074","1d003073a6ba14d334cd248f59261d0c_1101","8c337c75870066c7edf421eabf2a3849_1075","489654d668b099aba1108a156a10fb33_1116","e2beb81cc53f5f2dca879fc3cbafdbb5_1067","3769ff932ef4964888ed10339eca08e9_1057","34b0a8d969f18b9f4b245d9e2e270fbf_7726","f73384227e558735e4d06d33f21c4335_1072","2429ebe1b70a7dc44da671065d2f1e2f_1101"
"mlaC","","phospholipid-binding protein MlaC","10","10","1","1","7579","","","","635","635","635","4faf440b7ae03605f2bb8c219a1cbecd_1166","3a4164c7505bb5d25b67cc08b6e6c176_1086","1d003073a6ba14d334cd248f59261d0c_1113","8c337c75870066c7edf421eabf2a3849_1087","489654d668b099aba1108a156a10fb33_1128","e2beb81cc53f5f2dca879fc3cbafdbb5_1079","3769ff932ef4964888ed10339eca08e9_1069","34b0a8d969f18b9f4b245d9e2e270fbf_7714","f73384227e558735e4d06d33f21c4335_1084","2429ebe1b70a7dc44da671065d2f1e2f_1113"
"ibaG","","BolA family iron metabolism protein IbaG","10","10","1","1","7577","","","","224","254","251","4faf440b7ae03605f2bb8c219a1cbecd_1170","3a4164c7505bb5d25b67cc08b6e6c176_1090","1d003073a6ba14d334cd248f59261d0c_1117","8c337c75870066c7edf421eabf2a3849_1091","489654d668b099aba1108a156a10fb33_1132","e2beb81cc53f5f2dca879fc3cbafdbb5_1083","3769ff932ef4964888ed10339eca08e9_1073","34b0a8d969f18b9f4b245d9e2e270fbf_7710","f73384227e558735e4d06d33f21c4335_1088","2429ebe1b70a7dc44da671065d2f1e2f_1117"
"sfsB","","DNA-binding transcriptional regulator SfsB","10","10","1","1","5586","","","","287","287","287","4faf440b7ae03605f2bb8c219a1cbecd_1174","3a4164c7505bb5d25b67cc08b6e6c176_1094","1d003073a6ba14d334cd248f59261d0c_1121","8c337c75870066c7edf421eabf2a3849_1095","489654d668b099aba1108a156a10fb33_1136","e2beb81cc53f5f2dca879fc3cbafdbb5_1087","3769ff932ef4964888ed10339eca08e9_1077","34b0a8d969f18b9f4b245d9e2e270fbf_7706","f73384227e558735e4d06d33f21c4335_1092","2429ebe1b70a7dc44da671065d2f1e2f_1121"
"ispB","","octaprenyl diphosphate synthase","10","10","1","1","5587","","","","932","971","967","4faf440b7ae03605f2bb8c219a1cbecd_1176","3a4164c7505bb5d25b67cc08b6e6c176_1096","1d003073a6ba14d334cd248f59261d0c_1123","8c337c75870066c7edf421eabf2a3849_1097","489654d668b099aba1108a156a10fb33_1138","e2beb81cc53f5f2dca879fc3cbafdbb5_1089","3769ff932ef4964888ed10339eca08e9_1079","34b0a8d969f18b9f4b245d9e2e270fbf_7704","f73384227e558735e4d06d33f21c4335_1094","2429ebe1b70a7dc44da671065d2f1e2f_1123"
"rbfA","","30S ribosome-binding factor RbfA","10","10","1","1","5612","","","","401","401","401","4faf440b7ae03605f2bb8c219a1cbecd_1216","3a4164c7505bb5d25b67cc08b6e6c176_1138","1d003073a6ba14d334cd248f59261d0c_1163","8c337c75870066c7edf421eabf2a3849_1139","489654d668b099aba1108a156a10fb33_1178","e2beb81cc53f5f2dca879fc3cbafdbb5_1131","3769ff932ef4964888ed10339eca08e9_1119","34b0a8d969f18b9f4b245d9e2e270fbf_7664","f73384227e558735e4d06d33f21c4335_1136","2429ebe1b70a7dc44da671065d2f1e2f_1163"
"WP_000380404.1","","YhbP family protein","10","10","1","1","5622","","","","443","443","443","4faf440b7ae03605f2bb8c219a1cbecd_1244","3a4164c7505bb5d25b67cc08b6e6c176_1166","1d003073a6ba14d334cd248f59261d0c_1191","8c337c75870066c7edf421eabf2a3849_1167","489654d668b099aba1108a156a10fb33_1206","e2beb81cc53f5f2dca879fc3cbafdbb5_1163","3769ff932ef4964888ed10339eca08e9_1151","34b0a8d969f18b9f4b245d9e2e270fbf_7632","f73384227e558735e4d06d33f21c4335_1164","2429ebe1b70a7dc44da671065d2f1e2f_1195"
"WP_001530791.1","","NAD(P)H-binding protein","10","10","1","1","5624","","","","635","635","635","4faf440b7ae03605f2bb8c219a1cbecd_1248","3a4164c7505bb5d25b67cc08b6e6c176_1170","1d003073a6ba14d334cd248f59261d0c_1195","8c337c75870066c7edf421eabf2a3849_1171","489654d668b099aba1108a156a10fb33_1210","e2beb81cc53f5f2dca879fc3cbafdbb5_1167","3769ff932ef4964888ed10339eca08e9_1155","34b0a8d969f18b9f4b245d9e2e270fbf_7628","f73384227e558735e4d06d33f21c4335_1168","2429ebe1b70a7dc44da671065d2f1e2f_1199"
"WP_000057285.1","","YraN family protein","10","10","1","1","5627","","","","395","395","395","4faf440b7ae03605f2bb8c219a1cbecd_1254","3a4164c7505bb5d25b67cc08b6e6c176_1176","1d003073a6ba14d334cd248f59261d0c_1201","8c337c75870066c7edf421eabf2a3849_1177","489654d668b099aba1108a156a10fb33_1216","e2beb81cc53f5f2dca879fc3cbafdbb5_1173","3769ff932ef4964888ed10339eca08e9_1161","34b0a8d969f18b9f4b245d9e2e270fbf_7622","f73384227e558735e4d06d33f21c4335_1174","2429ebe1b70a7dc44da671065d2f1e2f_1205"
"rsmI","","16S rRNA (cytidine(1402)-2'-O)-methyltransferase","10","10","1","1","5636","","","","860","863","862","4faf440b7ae03605f2bb8c219a1cbecd_1258","3a4164c7505bb5d25b67cc08b6e6c176_1180","1d003073a6ba14d334cd248f59261d0c_1205","8c337c75870066c7edf421eabf2a3849_1181","489654d668b099aba1108a156a10fb33_1220","e2beb81cc53f5f2dca879fc3cbafdbb5_1177","3769ff932ef4964888ed10339eca08e9_1165","34b0a8d969f18b9f4b245d9e2e270fbf_7618","f73384227e558735e4d06d33f21c4335_1178","2429ebe1b70a7dc44da671065d2f1e2f_1209"
"garD","","galactarate dehydratase","10","10","1","1","5650","","","","1571","1571","1571","4faf440b7ae03605f2bb8c219a1cbecd_1270","3a4164c7505bb5d25b67cc08b6e6c176_1196","1d003073a6ba14d334cd248f59261d0c_1229","8c337c75870066c7edf421eabf2a3849_1197","489654d668b099aba1108a156a10fb33_1246","e2beb81cc53f5f2dca879fc3cbafdbb5_1203","3769ff932ef4964888ed10339eca08e9_1191","34b0a8d969f18b9f4b245d9e2e270fbf_7592","f73384227e558735e4d06d33f21c4335_1204","2429ebe1b70a7dc44da671065d2f1e2f_1235"
"garR","","2-hydroxy-3-oxopropionate reductase","10","10","1","1","5654","","","","890","890","890","4faf440b7ae03605f2bb8c219a1cbecd_1276","3a4164c7505bb5d25b67cc08b6e6c176_1200","1d003073a6ba14d334cd248f59261d0c_1233","8c337c75870066c7edf421eabf2a3849_1201","489654d668b099aba1108a156a10fb33_1250","e2beb81cc53f5f2dca879fc3cbafdbb5_1207","3769ff932ef4964888ed10339eca08e9_1195","34b0a8d969f18b9f4b245d9e2e270fbf_7588","f73384227e558735e4d06d33f21c4335_1208","2429ebe1b70a7dc44da671065d2f1e2f_1239"
"WP_000039326.1","","hypothetical protein","10","10","1","1","5681","","","","164","164","164","4faf440b7ae03605f2bb8c219a1cbecd_1321","3a4164c7505bb5d25b67cc08b6e6c176_1225","1d003073a6ba14d334cd248f59261d0c_1256","8c337c75870066c7edf421eabf2a3849_1232","489654d668b099aba1108a156a10fb33_1275","e2beb81cc53f5f2dca879fc3cbafdbb5_1234","3769ff932ef4964888ed10339eca08e9_1218","34b0a8d969f18b9f4b245d9e2e270fbf_7563","f73384227e558735e4d06d33f21c4335_1233","2429ebe1b70a7dc44da671065d2f1e2f_1268"
"WP_000531160.1","","glutathione S-transferase family protein","10","10","1","1","5685","","","","986","986","986","4faf440b7ae03605f2bb8c219a1cbecd_1329","3a4164c7505bb5d25b67cc08b6e6c176_1233","1d003073a6ba14d334cd248f59261d0c_1264","8c337c75870066c7edf421eabf2a3849_1240","489654d668b099aba1108a156a10fb33_1283","e2beb81cc53f5f2dca879fc3cbafdbb5_1242","3769ff932ef4964888ed10339eca08e9_1226","34b0a8d969f18b9f4b245d9e2e270fbf_7555","f73384227e558735e4d06d33f21c4335_1241","2429ebe1b70a7dc44da671065d2f1e2f_1276"
