"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10332_2","NCTC10728_2","NCTC11445_2","NCTC12903_2","NCTC13359_2","NCTC13618_2","NCTC13620_2","NCTC13715_2","PAO1_2","Pa58_2"
"WP_003114374.1","","chorismate lyase","10","10","1","1","6397","","","","536","536","536","bff5be9a05af26abf8b302cd0b3f69e2_11349","f1bc4d4512a19bd29d7991c343d79c7a_5200","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11035","e1e193540533662714034fbaf73f5d6e_12507","fbf66bbada04254cb1d7db6bed85cec5_294","8fa835bf467b60db460d3f086747dc57_12628","d1676fa9fd9af43d40bcc74e7f0aec45_12580","9a62a93745f59da1e1aa95775073ed22_2872","252ccf95a1f36013216e1b90c752981b_11566","71007f8b45df3e0a6853be2ecfd5b6f2_13352"
"WP_003132742.1","","class I SAM-dependent methyltransferase","10","10","1","1","3707","","","","821","827","826","bff5be9a05af26abf8b302cd0b3f69e2_6437","f1bc4d4512a19bd29d7991c343d79c7a_415","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5234","e1e193540533662714034fbaf73f5d6e_7019","fbf66bbada04254cb1d7db6bed85cec5_8361","8fa835bf467b60db460d3f086747dc57_7075","d1676fa9fd9af43d40bcc74e7f0aec45_7141","9a62a93745f59da1e1aa95775073ed22_10474","252ccf95a1f36013216e1b90c752981b_3980","71007f8b45df3e0a6853be2ecfd5b6f2_7870"
"WP_003111315.1","","ABC-F family ATPase","10","10","1","1","883","","","","1565","1589","1586","bff5be9a05af26abf8b302cd0b3f69e2_6231","f1bc4d4512a19bd29d7991c343d79c7a_205","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5026","e1e193540533662714034fbaf73f5d6e_6807","fbf66bbada04254cb1d7db6bed85cec5_8161","8fa835bf467b60db460d3f086747dc57_6871","d1676fa9fd9af43d40bcc74e7f0aec45_6929","9a62a93745f59da1e1aa95775073ed22_10164","252ccf95a1f36013216e1b90c752981b_4203","71007f8b45df3e0a6853be2ecfd5b6f2_7662"
"WP_003102498.1","","sensor domain-containing phosphodiesterase","10","10","1","1","5443","","","","1763","1763","1763","bff5be9a05af26abf8b302cd0b3f69e2_4957","f1bc4d4512a19bd29d7991c343d79c7a_10666","f57ec7ca82cfc8a0008cea8c3cc6a6e4_3626","e1e193540533662714034fbaf73f5d6e_5386","fbf66bbada04254cb1d7db6bed85cec5_6505","8fa835bf467b60db460d3f086747dc57_5549","d1676fa9fd9af43d40bcc74e7f0aec45_5643","9a62a93745f59da1e1aa95775073ed22_8739","252ccf95a1f36013216e1b90c752981b_5463","71007f8b45df3e0a6853be2ecfd5b6f2_6056"
"WP_003104586.1","","ComEA family DNA-binding protein","10","10","1","1","9825","","","","329","329","329","bff5be9a05af26abf8b302cd0b3f69e2_3700","f1bc4d4512a19bd29d7991c343d79c7a_9350","f57ec7ca82cfc8a0008cea8c3cc6a6e4_6668","e1e193540533662714034fbaf73f5d6e_3724","fbf66bbada04254cb1d7db6bed85cec5_4765","8fa835bf467b60db460d3f086747dc57_3948","d1676fa9fd9af43d40bcc74e7f0aec45_3935","9a62a93745f59da1e1aa95775073ed22_7197","252ccf95a1f36013216e1b90c752981b_6725","71007f8b45df3e0a6853be2ecfd5b6f2_4109"
"WP_003082728.1","","TonB-dependent siderophore receptor","10","10","1","1","9142","","","","2198","2199","2198","bff5be9a05af26abf8b302cd0b3f69e2_7557","f1bc4d4512a19bd29d7991c343d79c7a_1534","f57ec7ca82cfc8a0008cea8c3cc6a6e4_2347","e1e193540533662714034fbaf73f5d6e_7937","fbf66bbada04254cb1d7db6bed85cec5_9479","8fa835bf467b60db460d3f086747dc57_8273","d1676fa9fd9af43d40bcc74e7f0aec45_8249","9a62a93745f59da1e1aa95775073ed22_11621","252ccf95a1f36013216e1b90c752981b_2814","71007f8b45df3e0a6853be2ecfd5b6f2_9144"
"WP_003120555.1","","LLM class oxidoreductase","10","10","1","1","6882","","","","1019","1019","1019","bff5be9a05af26abf8b302cd0b3f69e2_7860","f1bc4d4512a19bd29d7991c343d79c7a_1831","f57ec7ca82cfc8a0008cea8c3cc6a6e4_2070","e1e193540533662714034fbaf73f5d6e_8486","fbf66bbada04254cb1d7db6bed85cec5_9782","8fa835bf467b60db460d3f086747dc57_8562","d1676fa9fd9af43d40bcc74e7f0aec45_8564","9a62a93745f59da1e1aa95775073ed22_11918","252ccf95a1f36013216e1b90c752981b_2531","71007f8b45df3e0a6853be2ecfd5b6f2_9429"
"WP_003104412.1","","RidA family protein","10","10","1","1","5479","","","","353","353","353","bff5be9a05af26abf8b302cd0b3f69e2_7048","f1bc4d4512a19bd29d7991c343d79c7a_1028","f57ec7ca82cfc8a0008cea8c3cc6a6e4_2846","e1e193540533662714034fbaf73f5d6e_7720","fbf66bbada04254cb1d7db6bed85cec5_8992","8fa835bf467b60db460d3f086747dc57_7798","d1676fa9fd9af43d40bcc74e7f0aec45_7772","9a62a93745f59da1e1aa95775073ed22_11097","252ccf95a1f36013216e1b90c752981b_3330","71007f8b45df3e0a6853be2ecfd5b6f2_8623"
"WP_003113688.1","","TetR/AcrR family transcriptional regulator","10","10","1","1","7578","","","","584","584","584","bff5be9a05af26abf8b302cd0b3f69e2_5753","f1bc4d4512a19bd29d7991c343d79c7a_11418","f57ec7ca82cfc8a0008cea8c3cc6a6e4_4568","e1e193540533662714034fbaf73f5d6e_6350","fbf66bbada04254cb1d7db6bed85cec5_7463","8fa835bf467b60db460d3f086747dc57_6381","d1676fa9fd9af43d40bcc74e7f0aec45_6441","9a62a93745f59da1e1aa95775073ed22_9598","252ccf95a1f36013216e1b90c752981b_4689","71007f8b45df3e0a6853be2ecfd5b6f2_7206"
"WP_003082230.1","","multidrug effflux MFS transporter","10","10","1","1","4774","","","","1157","1157","1157","bff5be9a05af26abf8b302cd0b3f69e2_8028","f1bc4d4512a19bd29d7991c343d79c7a_1991","f57ec7ca82cfc8a0008cea8c3cc6a6e4_1912","e1e193540533662714034fbaf73f5d6e_8651","fbf66bbada04254cb1d7db6bed85cec5_9956","8fa835bf467b60db460d3f086747dc57_8728","d1676fa9fd9af43d40bcc74e7f0aec45_8728","9a62a93745f59da1e1aa95775073ed22_12080","252ccf95a1f36013216e1b90c752981b_2365","71007f8b45df3e0a6853be2ecfd5b6f2_9707"
"WP_003116142.1","","DUF4442 domain-containing protein","10","10","1","1","1264","","","","452","452","452","bff5be9a05af26abf8b302cd0b3f69e2_10658","f1bc4d4512a19bd29d7991c343d79c7a_4519","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11734","e1e193540533662714034fbaf73f5d6e_11805","fbf66bbada04254cb1d7db6bed85cec5_12849","8fa835bf467b60db460d3f086747dc57_11792","d1676fa9fd9af43d40bcc74e7f0aec45_11865","9a62a93745f59da1e1aa95775073ed22_2189","252ccf95a1f36013216e1b90c752981b_10862","71007f8b45df3e0a6853be2ecfd5b6f2_12640"
"WP_003142206.1","","peptidylprolyl isomerase","10","10","1","1","7094","","","","1286","1286","1286","bff5be9a05af26abf8b302cd0b3f69e2_55","f1bc4d4512a19bd29d7991c343d79c7a_5713","f57ec7ca82cfc8a0008cea8c3cc6a6e4_10538","e1e193540533662714034fbaf73f5d6e_62","fbf66bbada04254cb1d7db6bed85cec5_807","8fa835bf467b60db460d3f086747dc57_55","d1676fa9fd9af43d40bcc74e7f0aec45_55","9a62a93745f59da1e1aa95775073ed22_3506","252ccf95a1f36013216e1b90c752981b_56","71007f8b45df3e0a6853be2ecfd5b6f2_55"
"WP_003098722.1","","ANTAR domain-containing protein","10","10","1","1","2095","","","","590","590","590","bff5be9a05af26abf8b302cd0b3f69e2_3246","f1bc4d4512a19bd29d7991c343d79c7a_8886","f57ec7ca82cfc8a0008cea8c3cc6a6e4_7132","e1e193540533662714034fbaf73f5d6e_3270","fbf66bbada04254cb1d7db6bed85cec5_4297","8fa835bf467b60db460d3f086747dc57_3480","d1676fa9fd9af43d40bcc74e7f0aec45_3463","9a62a93745f59da1e1aa95775073ed22_6731","252ccf95a1f36013216e1b90c752981b_7203","71007f8b45df3e0a6853be2ecfd5b6f2_3647"
"WP_003083172.1","","DUF1937 family protein","10","10","1","1","8933","","","","356","356","356","bff5be9a05af26abf8b302cd0b3f69e2_7207","f1bc4d4512a19bd29d7991c343d79c7a_1187","f57ec7ca82cfc8a0008cea8c3cc6a6e4_2687","e1e193540533662714034fbaf73f5d6e_8053","fbf66bbada04254cb1d7db6bed85cec5_9155","8fa835bf467b60db460d3f086747dc57_7961","d1676fa9fd9af43d40bcc74e7f0aec45_7937","9a62a93745f59da1e1aa95775073ed22_11256","252ccf95a1f36013216e1b90c752981b_3171","71007f8b45df3e0a6853be2ecfd5b6f2_8786"
"WP_003086343.1","","hypothetical protein","10","10","1","1","4854","","","","497","497","497","bff5be9a05af26abf8b302cd0b3f69e2_8178","f1bc4d4512a19bd29d7991c343d79c7a_2129","f57ec7ca82cfc8a0008cea8c3cc6a6e4_1774","e1e193540533662714034fbaf73f5d6e_8801","fbf66bbada04254cb1d7db6bed85cec5_10118","8fa835bf467b60db460d3f086747dc57_8880","d1676fa9fd9af43d40bcc74e7f0aec45_8890","9a62a93745f59da1e1aa95775073ed22_12230","252ccf95a1f36013216e1b90c752981b_2216","71007f8b45df3e0a6853be2ecfd5b6f2_9857"
"WP_003114463.1","","phosphate/phosphite/phosphonate ABC transporter substrate-binding protein","10","10","1","1","6703","","","","797","797","797","bff5be9a05af26abf8b302cd0b3f69e2_10812","f1bc4d4512a19bd29d7991c343d79c7a_4669","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11584","e1e193540533662714034fbaf73f5d6e_11953","fbf66bbada04254cb1d7db6bed85cec5_13003","8fa835bf467b60db460d3f086747dc57_11942","d1676fa9fd9af43d40bcc74e7f0aec45_12019","9a62a93745f59da1e1aa95775073ed22_2341","252ccf95a1f36013216e1b90c752981b_11014","71007f8b45df3e0a6853be2ecfd5b6f2_12790"
"cyoB","","cytochrome o ubiquinol oxidase subunit I","10","10","1","1","9146","","","","1976","1977","1976","bff5be9a05af26abf8b302cd0b3f69e2_7565","f1bc4d4512a19bd29d7991c343d79c7a_1542","f57ec7ca82cfc8a0008cea8c3cc6a6e4_2339","e1e193540533662714034fbaf73f5d6e_7945","fbf66bbada04254cb1d7db6bed85cec5_9487","8fa835bf467b60db460d3f086747dc57_8279","d1676fa9fd9af43d40bcc74e7f0aec45_8257","9a62a93745f59da1e1aa95775073ed22_11629","252ccf95a1f36013216e1b90c752981b_2804","71007f8b45df3e0a6853be2ecfd5b6f2_9152"
"WP_003105033.1","","membrane protein","10","10","1","1","2859","","","","752","752","752","bff5be9a05af26abf8b302cd0b3f69e2_2213","f1bc4d4512a19bd29d7991c343d79c7a_7907","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8266","e1e193540533662714034fbaf73f5d6e_2152","fbf66bbada04254cb1d7db6bed85cec5_3192","8fa835bf467b60db460d3f086747dc57_2333","d1676fa9fd9af43d40bcc74e7f0aec45_2341","9a62a93745f59da1e1aa95775073ed22_5714","252ccf95a1f36013216e1b90c752981b_8265","71007f8b45df3e0a6853be2ecfd5b6f2_2501"
"WP_003100413.1","","3-hydroxybutyrate dehydrogenase","10","10","1","1","906","","","","770","770","770","bff5be9a05af26abf8b302cd0b3f69e2_6151","f1bc4d4512a19bd29d7991c343d79c7a_11808","f57ec7ca82cfc8a0008cea8c3cc6a6e4_4946","e1e193540533662714034fbaf73f5d6e_6729","fbf66bbada04254cb1d7db6bed85cec5_7875","8fa835bf467b60db460d3f086747dc57_6791","d1676fa9fd9af43d40bcc74e7f0aec45_6849","9a62a93745f59da1e1aa95775073ed22_9970","252ccf95a1f36013216e1b90c752981b_4285","71007f8b45df3e0a6853be2ecfd5b6f2_7584"
"WP_003105527.1","","TRAP transporter small permease","10","10","1","1","6593","","","","632","632","632","bff5be9a05af26abf8b302cd0b3f69e2_10956","f1bc4d4512a19bd29d7991c343d79c7a_4813","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11424","e1e193540533662714034fbaf73f5d6e_12120","fbf66bbada04254cb1d7db6bed85cec5_13165","8fa835bf467b60db460d3f086747dc57_12229","d1676fa9fd9af43d40bcc74e7f0aec45_12185","9a62a93745f59da1e1aa95775073ed22_2485","252ccf95a1f36013216e1b90c752981b_11161","71007f8b45df3e0a6853be2ecfd5b6f2_12959"
"WP_003082903.1","","hypothetical protein","10","10","1","1","9034","","","","341","341","341","bff5be9a05af26abf8b302cd0b3f69e2_7393","f1bc4d4512a19bd29d7991c343d79c7a_1377","f57ec7ca82cfc8a0008cea8c3cc6a6e4_2501","e1e193540533662714034fbaf73f5d6e_8239","fbf66bbada04254cb1d7db6bed85cec5_9349","8fa835bf467b60db460d3f086747dc57_8149","d1676fa9fd9af43d40bcc74e7f0aec45_8127","9a62a93745f59da1e1aa95775073ed22_11440","252ccf95a1f36013216e1b90c752981b_2970","71007f8b45df3e0a6853be2ecfd5b6f2_8978"
"thiS","","sulfur carrier protein ThiS","10","10","1","1","7691","","","","200","200","200","bff5be9a05af26abf8b302cd0b3f69e2_772","f1bc4d4512a19bd29d7991c343d79c7a_6450","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9815","e1e193540533662714034fbaf73f5d6e_793","fbf66bbada04254cb1d7db6bed85cec5_1548","8fa835bf467b60db460d3f086747dc57_802","d1676fa9fd9af43d40bcc74e7f0aec45_862","9a62a93745f59da1e1aa95775073ed22_4257","252ccf95a1f36013216e1b90c752981b_796","71007f8b45df3e0a6853be2ecfd5b6f2_892"
"WP_003114814.1","","FMN-dependent NADH-azoreductase","10","10","1","1","1940","","","","641","641","641","bff5be9a05af26abf8b302cd0b3f69e2_3546","f1bc4d4512a19bd29d7991c343d79c7a_9186","f57ec7ca82cfc8a0008cea8c3cc6a6e4_6832","e1e193540533662714034fbaf73f5d6e_3570","fbf66bbada04254cb1d7db6bed85cec5_4599","8fa835bf467b60db460d3f086747dc57_3784","d1676fa9fd9af43d40bcc74e7f0aec45_3769","9a62a93745f59da1e1aa95775073ed22_7031","252ccf95a1f36013216e1b90c752981b_6896","71007f8b45df3e0a6853be2ecfd5b6f2_3943"
"WP_003103070.1","","multidrug efflux SMR transporter","10","10","1","1","8035","","","","305","305","305","bff5be9a05af26abf8b302cd0b3f69e2_8701","f1bc4d4512a19bd29d7991c343d79c7a_2668","f57ec7ca82cfc8a0008cea8c3cc6a6e4_879","e1e193540533662714034fbaf73f5d6e_9404","fbf66bbada04254cb1d7db6bed85cec5_10655","8fa835bf467b60db460d3f086747dc57_9656","d1676fa9fd9af43d40bcc74e7f0aec45_9577","9a62a93745f59da1e1aa95775073ed22_168","252ccf95a1f36013216e1b90c752981b_1657","71007f8b45df3e0a6853be2ecfd5b6f2_10439"
"WP_003095101.1","","hemin-degrading factor","10","10","1","1","9572","","","","1064","1064","1064","bff5be9a05af26abf8b302cd0b3f69e2_9974","f1bc4d4512a19bd29d7991c343d79c7a_3855","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12390","e1e193540533662714034fbaf73f5d6e_11147","fbf66bbada04254cb1d7db6bed85cec5_12147","8fa835bf467b60db460d3f086747dc57_11122","d1676fa9fd9af43d40bcc74e7f0aec45_11195","9a62a93745f59da1e1aa95775073ed22_1529","252ccf95a1f36013216e1b90c752981b_10171","71007f8b45df3e0a6853be2ecfd5b6f2_11980"
"WP_003105451.1","","ABC transporter permease subunit","10","10","1","1","3955","","","","911","911","911","bff5be9a05af26abf8b302cd0b3f69e2_9508","f1bc4d4512a19bd29d7991c343d79c7a_3357","f57ec7ca82cfc8a0008cea8c3cc6a6e4_162","e1e193540533662714034fbaf73f5d6e_10385","fbf66bbada04254cb1d7db6bed85cec5_11381","8fa835bf467b60db460d3f086747dc57_10654","d1676fa9fd9af43d40bcc74e7f0aec45_10456","9a62a93745f59da1e1aa95775073ed22_953","252ccf95a1f36013216e1b90c752981b_9687","71007f8b45df3e0a6853be2ecfd5b6f2_11176"
"WP_003088669.1","","AzlD domain-containing protein","10","10","1","1","7400","","","","311","314","313","bff5be9a05af26abf8b302cd0b3f69e2_6081","f1bc4d4512a19bd29d7991c343d79c7a_11738","f57ec7ca82cfc8a0008cea8c3cc6a6e4_4872","e1e193540533662714034fbaf73f5d6e_6654","fbf66bbada04254cb1d7db6bed85cec5_7807","8fa835bf467b60db460d3f086747dc57_6721","d1676fa9fd9af43d40bcc74e7f0aec45_6779","9a62a93745f59da1e1aa95775073ed22_9900","252ccf95a1f36013216e1b90c752981b_4355","71007f8b45df3e0a6853be2ecfd5b6f2_7512"
