"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","M16808_2","NCTC11902_2","NCTC12977_2","NCTC13276_2","NCTC7465_2","NCTC7466_2","OXC141_2","R6_2","SNP994038_2","SNP994039_2"
"WP_000153805.1","","DUF1542 domain-containing protein","10","10","1","1","724","","","","653","899","753","4e0ebb2f352ce5f77c4dc810bc08f662_587","5304d155c86e7e0505652cd3398fab91_3763","c9f86137e46aba7d7655704f281d0e42_2808","d85e8842589287b51ccafc8c2ab682fd_3643","72423b0a20e1eaaa23e55b78118edd99_1648","0983e9ef5d2d51f2c7fe65caad871066_3657","071df2bd90ec8224320f416a082a7ee2_3757","f80477e6bb8d2c709ffd872956318dda_3864","29d2a391aac6e81216e86f42a012931d_4331","4903566b198540aa48641e5fce1361b3_4331"
"WP_153298014.1","","type II secretion system protein","10","10","1","1","577","","","","404","428","416","4e0ebb2f352ce5f77c4dc810bc08f662_741","5304d155c86e7e0505652cd3398fab91_3915","c9f86137e46aba7d7655704f281d0e42_2960","d85e8842589287b51ccafc8c2ab682fd_3795","72423b0a20e1eaaa23e55b78118edd99_1496","0983e9ef5d2d51f2c7fe65caad871066_3809","071df2bd90ec8224320f416a082a7ee2_3907","f80477e6bb8d2c709ffd872956318dda_4025","29d2a391aac6e81216e86f42a012931d_4501","4903566b198540aa48641e5fce1361b3_4501"
"WP_074017570.1","","type II secretion system F family protein","10","10","1","1","575","","","","1016","1043","1018","4e0ebb2f352ce5f77c4dc810bc08f662_745","5304d155c86e7e0505652cd3398fab91_3919","c9f86137e46aba7d7655704f281d0e42_2964","d85e8842589287b51ccafc8c2ab682fd_3799","72423b0a20e1eaaa23e55b78118edd99_1492","0983e9ef5d2d51f2c7fe65caad871066_3813","071df2bd90ec8224320f416a082a7ee2_3911","f80477e6bb8d2c709ffd872956318dda_4029","29d2a391aac6e81216e86f42a012931d_4505","4903566b198540aa48641e5fce1361b3_4505"
"WP_000403100.1","","hypothetical protein","10","10","1","1","1213","","","","77","146","139","4e0ebb2f352ce5f77c4dc810bc08f662_4128","5304d155c86e7e0505652cd3398fab91_2971","c9f86137e46aba7d7655704f281d0e42_1987","d85e8842589287b51ccafc8c2ab682fd_2849","72423b0a20e1eaaa23e55b78118edd99_2503","0983e9ef5d2d51f2c7fe65caad871066_2863","071df2bd90ec8224320f416a082a7ee2_2933","f80477e6bb8d2c709ffd872956318dda_3026","29d2a391aac6e81216e86f42a012931d_3354","4903566b198540aa48641e5fce1361b3_3354"
"WP_000177175.1","","threonine synthase","10","10","1","1","1063","","","","1484","1484","1484","4e0ebb2f352ce5f77c4dc810bc08f662_773","5304d155c86e7e0505652cd3398fab91_3947","c9f86137e46aba7d7655704f281d0e42_2992","d85e8842589287b51ccafc8c2ab682fd_3827","72423b0a20e1eaaa23e55b78118edd99_1464","0983e9ef5d2d51f2c7fe65caad871066_3841","071df2bd90ec8224320f416a082a7ee2_3939","f80477e6bb8d2c709ffd872956318dda_4058","29d2a391aac6e81216e86f42a012931d_4537","4903566b198540aa48641e5fce1361b3_4537"
"WP_000185155.1","","metal-sensitive transcriptional regulator","10","10","1","1","2530","","","","257","257","257","4e0ebb2f352ce5f77c4dc810bc08f662_1420","5304d155c86e7e0505652cd3398fab91_206","c9f86137e46aba7d7655704f281d0e42_3643","d85e8842589287b51ccafc8c2ab682fd_148","72423b0a20e1eaaa23e55b78118edd99_815","0983e9ef5d2d51f2c7fe65caad871066_148","071df2bd90ec8224320f416a082a7ee2_244","f80477e6bb8d2c709ffd872956318dda_154","29d2a391aac6e81216e86f42a012931d_268","4903566b198540aa48641e5fce1361b3_268"
"pavB","","PavB family fibronectin-binding SSURE repeat adhesin","10","10","1","1","2519","","","","2573","4853","3393","4e0ebb2f352ce5f77c4dc810bc08f662_1440","5304d155c86e7e0505652cd3398fab91_230","c9f86137e46aba7d7655704f281d0e42_3663","d85e8842589287b51ccafc8c2ab682fd_170","72423b0a20e1eaaa23e55b78118edd99_791","0983e9ef5d2d51f2c7fe65caad871066_170","071df2bd90ec8224320f416a082a7ee2_264","f80477e6bb8d2c709ffd872956318dda_179","29d2a391aac6e81216e86f42a012931d_302","4903566b198540aa48641e5fce1361b3_302"
"WP_001819759.1","","hypothetical protein","10","10","1","1","2465","","","","245","278","274","4e0ebb2f352ce5f77c4dc810bc08f662_1526","5304d155c86e7e0505652cd3398fab91_324","c9f86137e46aba7d7655704f281d0e42_3745","d85e8842589287b51ccafc8c2ab682fd_268","72423b0a20e1eaaa23e55b78118edd99_713","0983e9ef5d2d51f2c7fe65caad871066_268","071df2bd90ec8224320f416a082a7ee2_360","f80477e6bb8d2c709ffd872956318dda_283","29d2a391aac6e81216e86f42a012931d_393","4903566b198540aa48641e5fce1361b3_393"
"WP_001141661.1","","AzlC family ABC transporter permease","10","10","1","1","2436","","","","473","656","596","4e0ebb2f352ce5f77c4dc810bc08f662_1578","5304d155c86e7e0505652cd3398fab91_376","c9f86137e46aba7d7655704f281d0e42_3797","d85e8842589287b51ccafc8c2ab682fd_320","72423b0a20e1eaaa23e55b78118edd99_653","0983e9ef5d2d51f2c7fe65caad871066_320","071df2bd90ec8224320f416a082a7ee2_414","f80477e6bb8d2c709ffd872956318dda_338","29d2a391aac6e81216e86f42a012931d_457","4903566b198540aa48641e5fce1361b3_457"
"WP_074186948.1","","PTS mannose transporter subunit IIA","10","10","1","1","1697","","","","257","1679","866","4e0ebb2f352ce5f77c4dc810bc08f662_2137","5304d155c86e7e0505652cd3398fab91_915","c9f86137e46aba7d7655704f281d0e42_4358","d85e8842589287b51ccafc8c2ab682fd_865","72423b0a20e1eaaa23e55b78118edd99_84","0983e9ef5d2d51f2c7fe65caad871066_879","071df2bd90ec8224320f416a082a7ee2_949","f80477e6bb8d2c709ffd872956318dda_918","29d2a391aac6e81216e86f42a012931d_1063","4903566b198540aa48641e5fce1361b3_1063"
"pyrR","","bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR","10","10","1","1","227","","","","521","521","521","4e0ebb2f352ce5f77c4dc810bc08f662_3587","5304d155c86e7e0505652cd3398fab91_2422","c9f86137e46aba7d7655704f281d0e42_1430","d85e8842589287b51ccafc8c2ab682fd_2305","72423b0a20e1eaaa23e55b78118edd99_3041","0983e9ef5d2d51f2c7fe65caad871066_2319","071df2bd90ec8224320f416a082a7ee2_2421","f80477e6bb8d2c709ffd872956318dda_2453","29d2a391aac6e81216e86f42a012931d_2765","4903566b198540aa48641e5fce1361b3_2765"
"WP_000789949.1","","LacI family DNA-binding transcriptional regulator","10","10","1","1","1042","","","","1001","1001","1001","4e0ebb2f352ce5f77c4dc810bc08f662_217","5304d155c86e7e0505652cd3398fab91_3389","c9f86137e46aba7d7655704f281d0e42_2436","d85e8842589287b51ccafc8c2ab682fd_3257","72423b0a20e1eaaa23e55b78118edd99_2024","0983e9ef5d2d51f2c7fe65caad871066_3271","071df2bd90ec8224320f416a082a7ee2_3387","f80477e6bb8d2c709ffd872956318dda_3459","29d2a391aac6e81216e86f42a012931d_3893","4903566b198540aa48641e5fce1361b3_3893"
"WP_000886031.1","","DUF960 domain-containing protein","10","10","1","1","2164","","","","317","317","317","4e0ebb2f352ce5f77c4dc810bc08f662_1829","5304d155c86e7e0505652cd3398fab91_631","c9f86137e46aba7d7655704f281d0e42_4052","d85e8842589287b51ccafc8c2ab682fd_569","72423b0a20e1eaaa23e55b78118edd99_404","0983e9ef5d2d51f2c7fe65caad871066_569","071df2bd90ec8224320f416a082a7ee2_667","f80477e6bb8d2c709ffd872956318dda_599","29d2a391aac6e81216e86f42a012931d_746","4903566b198540aa48641e5fce1361b3_746"
"WP_001217828.1","","glycerol dehydrogenase","10","10","1","1","2124","","","","1088","1088","1088","4e0ebb2f352ce5f77c4dc810bc08f662_1753","5304d155c86e7e0505652cd3398fab91_553","c9f86137e46aba7d7655704f281d0e42_3974","d85e8842589287b51ccafc8c2ab682fd_495","72423b0a20e1eaaa23e55b78118edd99_478","0983e9ef5d2d51f2c7fe65caad871066_495","071df2bd90ec8224320f416a082a7ee2_591","f80477e6bb8d2c709ffd872956318dda_521","29d2a391aac6e81216e86f42a012931d_657","4903566b198540aa48641e5fce1361b3_657"
"WP_000643970.1","","NTP transferase domain-containing protein","10","10","1","1","238","","","","689","689","689","4e0ebb2f352ce5f77c4dc810bc08f662_3565","5304d155c86e7e0505652cd3398fab91_2400","c9f86137e46aba7d7655704f281d0e42_1408","d85e8842589287b51ccafc8c2ab682fd_2283","72423b0a20e1eaaa23e55b78118edd99_3063","0983e9ef5d2d51f2c7fe65caad871066_2297","071df2bd90ec8224320f416a082a7ee2_2399","f80477e6bb8d2c709ffd872956318dda_2430","29d2a391aac6e81216e86f42a012931d_2741","4903566b198540aa48641e5fce1361b3_2741"
"WP_001808953.1","","UDP-galactopyranose mutase","10","10","1","1","2178","","","","80","146","106","4e0ebb2f352ce5f77c4dc810bc08f662_2390","5304d155c86e7e0505652cd3398fab91_1198","c9f86137e46aba7d7655704f281d0e42_225","d85e8842589287b51ccafc8c2ab682fd_1114","72423b0a20e1eaaa23e55b78118edd99_4213","0983e9ef5d2d51f2c7fe65caad871066_1128","071df2bd90ec8224320f416a082a7ee2_1216","f80477e6bb8d2c709ffd872956318dda_1198","29d2a391aac6e81216e86f42a012931d_1382","4903566b198540aa48641e5fce1361b3_1382"
"WP_000576349.1","","hypothetical protein","10","10","1","1","845","","","","227","227","227","4e0ebb2f352ce5f77c4dc810bc08f662_4337","5304d155c86e7e0505652cd3398fab91_3162","c9f86137e46aba7d7655704f281d0e42_2192","d85e8842589287b51ccafc8c2ab682fd_3040","72423b0a20e1eaaa23e55b78118edd99_2320","0983e9ef5d2d51f2c7fe65caad871066_3054","071df2bd90ec8224320f416a082a7ee2_3140","f80477e6bb8d2c709ffd872956318dda_3232","29d2a391aac6e81216e86f42a012931d_3604","4903566b198540aa48641e5fce1361b3_3604"
"WP_001192007.1","","carbohydrate ABC transporter permease","10","10","1","1","833","","","","839","839","839","4e0ebb2f352ce5f77c4dc810bc08f662_4313","5304d155c86e7e0505652cd3398fab91_3138","c9f86137e46aba7d7655704f281d0e42_2168","d85e8842589287b51ccafc8c2ab682fd_3016","72423b0a20e1eaaa23e55b78118edd99_2344","0983e9ef5d2d51f2c7fe65caad871066_3030","071df2bd90ec8224320f416a082a7ee2_3116","f80477e6bb8d2c709ffd872956318dda_3206","29d2a391aac6e81216e86f42a012931d_3575","4903566b198540aa48641e5fce1361b3_3575"
"rpsN","","30S ribosomal protein S14","10","10","1","1","2094","","","","269","269","269","4e0ebb2f352ce5f77c4dc810bc08f662_1693","5304d155c86e7e0505652cd3398fab91_491","c9f86137e46aba7d7655704f281d0e42_3914","d85e8842589287b51ccafc8c2ab682fd_435","72423b0a20e1eaaa23e55b78118edd99_540","0983e9ef5d2d51f2c7fe65caad871066_435","071df2bd90ec8224320f416a082a7ee2_531","f80477e6bb8d2c709ffd872956318dda_459","29d2a391aac6e81216e86f42a012931d_595","4903566b198540aa48641e5fce1361b3_595"
"rpsQ","","30S ribosomal protein S17","10","10","1","1","2090","","","","260","260","260","4e0ebb2f352ce5f77c4dc810bc08f662_1685","5304d155c86e7e0505652cd3398fab91_483","c9f86137e46aba7d7655704f281d0e42_3906","d85e8842589287b51ccafc8c2ab682fd_427","72423b0a20e1eaaa23e55b78118edd99_548","0983e9ef5d2d51f2c7fe65caad871066_427","071df2bd90ec8224320f416a082a7ee2_523","f80477e6bb8d2c709ffd872956318dda_451","29d2a391aac6e81216e86f42a012931d_587","4903566b198540aa48641e5fce1361b3_587"
"WP_001821805.1","","sugar ABC transporter permease","10","10","1","1","834","","","","866","866","866","4e0ebb2f352ce5f77c4dc810bc08f662_4315","5304d155c86e7e0505652cd3398fab91_3140","c9f86137e46aba7d7655704f281d0e42_2170","d85e8842589287b51ccafc8c2ab682fd_3018","72423b0a20e1eaaa23e55b78118edd99_2342","0983e9ef5d2d51f2c7fe65caad871066_3032","071df2bd90ec8224320f416a082a7ee2_3118","f80477e6bb8d2c709ffd872956318dda_3208","29d2a391aac6e81216e86f42a012931d_3577","4903566b198540aa48641e5fce1361b3_3577"
"WP_001166786.1","","Rrf2 family transcriptional regulator","10","10","1","1","1169","","","","437","437","437","4e0ebb2f352ce5f77c4dc810bc08f662_4233","5304d155c86e7e0505652cd3398fab91_3054","c9f86137e46aba7d7655704f281d0e42_2088","d85e8842589287b51ccafc8c2ab682fd_2930","72423b0a20e1eaaa23e55b78118edd99_2422","0983e9ef5d2d51f2c7fe65caad871066_2944","071df2bd90ec8224320f416a082a7ee2_3034","f80477e6bb8d2c709ffd872956318dda_3117","29d2a391aac6e81216e86f42a012931d_3474","4903566b198540aa48641e5fce1361b3_3474"
"WP_000206761.1","","carboxymuconolactone decarboxylase family protein","10","10","1","1","1749","","","","548","548","548","4e0ebb2f352ce5f77c4dc810bc08f662_2027","5304d155c86e7e0505652cd3398fab91_819","c9f86137e46aba7d7655704f281d0e42_4250","d85e8842589287b51ccafc8c2ab682fd_757","72423b0a20e1eaaa23e55b78118edd99_198","0983e9ef5d2d51f2c7fe65caad871066_771","071df2bd90ec8224320f416a082a7ee2_849","f80477e6bb8d2c709ffd872956318dda_803","29d2a391aac6e81216e86f42a012931d_945","4903566b198540aa48641e5fce1361b3_945"
"rplO","","50S ribosomal protein L15","10","10","1","1","2100","","","","440","440","440","4e0ebb2f352ce5f77c4dc810bc08f662_1705","5304d155c86e7e0505652cd3398fab91_503","c9f86137e46aba7d7655704f281d0e42_3926","d85e8842589287b51ccafc8c2ab682fd_447","72423b0a20e1eaaa23e55b78118edd99_528","0983e9ef5d2d51f2c7fe65caad871066_447","071df2bd90ec8224320f416a082a7ee2_543","f80477e6bb8d2c709ffd872956318dda_471","29d2a391aac6e81216e86f42a012931d_607","4903566b198540aa48641e5fce1361b3_607"
"WP_000410533.1","","hypothetical protein","10","10","1","1","1527","","","","74","149","141","4e0ebb2f352ce5f77c4dc810bc08f662_2182","5304d155c86e7e0505652cd3398fab91_960","c9f86137e46aba7d7655704f281d0e42_4403","d85e8842589287b51ccafc8c2ab682fd_910","72423b0a20e1eaaa23e55b78118edd99_23","0983e9ef5d2d51f2c7fe65caad871066_924","071df2bd90ec8224320f416a082a7ee2_994","f80477e6bb8d2c709ffd872956318dda_967","29d2a391aac6e81216e86f42a012931d_1119","4903566b198540aa48641e5fce1361b3_1119"
"WP_000772918.1","","50S ribosomal protein L29","10","10","1","1","2089","","","","206","206","206","4e0ebb2f352ce5f77c4dc810bc08f662_1683","5304d155c86e7e0505652cd3398fab91_481","c9f86137e46aba7d7655704f281d0e42_3904","d85e8842589287b51ccafc8c2ab682fd_425","72423b0a20e1eaaa23e55b78118edd99_550","0983e9ef5d2d51f2c7fe65caad871066_425","071df2bd90ec8224320f416a082a7ee2_521","f80477e6bb8d2c709ffd872956318dda_449","29d2a391aac6e81216e86f42a012931d_585","4903566b198540aa48641e5fce1361b3_585"
"WP_000241469.1","","PTS sugar transporter subunit IIB","10","10","1","1","588","","","","281","281","281","4e0ebb2f352ce5f77c4dc810bc08f662_717","5304d155c86e7e0505652cd3398fab91_3891","c9f86137e46aba7d7655704f281d0e42_2936","d85e8842589287b51ccafc8c2ab682fd_3771","72423b0a20e1eaaa23e55b78118edd99_1520","0983e9ef5d2d51f2c7fe65caad871066_3785","071df2bd90ec8224320f416a082a7ee2_3883","f80477e6bb8d2c709ffd872956318dda_4001","29d2a391aac6e81216e86f42a012931d_4476","4903566b198540aa48641e5fce1361b3_4476"
"yajC","","preprotein translocase subunit YajC","10","10","1","1","596","","","","299","299","299","4e0ebb2f352ce5f77c4dc810bc08f662_701","5304d155c86e7e0505652cd3398fab91_3875","c9f86137e46aba7d7655704f281d0e42_2920","d85e8842589287b51ccafc8c2ab682fd_3755","72423b0a20e1eaaa23e55b78118edd99_1536","0983e9ef5d2d51f2c7fe65caad871066_3769","071df2bd90ec8224320f416a082a7ee2_3867","f80477e6bb8d2c709ffd872956318dda_3985","29d2a391aac6e81216e86f42a012931d_4460","4903566b198540aa48641e5fce1361b3_4460"
"WP_000808063.1","","elongation factor Ts","10","10","1","1","2684","","","","1040","1040","1040","4e0ebb2f352ce5f77c4dc810bc08f662_1132","5304d155c86e7e0505652cd3398fab91_4307","c9f86137e46aba7d7655704f281d0e42_3351","d85e8842589287b51ccafc8c2ab682fd_4158","72423b0a20e1eaaa23e55b78118edd99_1137","0983e9ef5d2d51f2c7fe65caad871066_4172","071df2bd90ec8224320f416a082a7ee2_4266","f80477e6bb8d2c709ffd872956318dda_4403","29d2a391aac6e81216e86f42a012931d_4923","4903566b198540aa48641e5fce1361b3_4923"
"infA","","translation initiation factor IF-1","10","10","1","1","2103","","","","218","218","218","4e0ebb2f352ce5f77c4dc810bc08f662_1711","5304d155c86e7e0505652cd3398fab91_509","c9f86137e46aba7d7655704f281d0e42_3932","d85e8842589287b51ccafc8c2ab682fd_453","72423b0a20e1eaaa23e55b78118edd99_522","0983e9ef5d2d51f2c7fe65caad871066_453","071df2bd90ec8224320f416a082a7ee2_549","f80477e6bb8d2c709ffd872956318dda_477","29d2a391aac6e81216e86f42a012931d_613","4903566b198540aa48641e5fce1361b3_613"
"WP_001140948.1","","50S ribosomal protein L28","10","10","1","1","1718","","","","188","188","188","4e0ebb2f352ce5f77c4dc810bc08f662_2087","5304d155c86e7e0505652cd3398fab91_875","c9f86137e46aba7d7655704f281d0e42_4310","d85e8842589287b51ccafc8c2ab682fd_813","72423b0a20e1eaaa23e55b78118edd99_136","0983e9ef5d2d51f2c7fe65caad871066_827","071df2bd90ec8224320f416a082a7ee2_909","f80477e6bb8d2c709ffd872956318dda_862","29d2a391aac6e81216e86f42a012931d_1010","4903566b198540aa48641e5fce1361b3_1010"
"secY","","preprotein translocase subunit SecY","10","10","1","1","2101","","","","1310","1310","1310","4e0ebb2f352ce5f77c4dc810bc08f662_1707","5304d155c86e7e0505652cd3398fab91_505","c9f86137e46aba7d7655704f281d0e42_3928","d85e8842589287b51ccafc8c2ab682fd_449","72423b0a20e1eaaa23e55b78118edd99_526","0983e9ef5d2d51f2c7fe65caad871066_449","071df2bd90ec8224320f416a082a7ee2_545","f80477e6bb8d2c709ffd872956318dda_473","29d2a391aac6e81216e86f42a012931d_609","4903566b198540aa48641e5fce1361b3_609"
"WP_001227958.1","","helix-turn-helix domain-containing protein","10","10","1","1","2675","","","","821","821","821","4e0ebb2f352ce5f77c4dc810bc08f662_1150","5304d155c86e7e0505652cd3398fab91_4325","c9f86137e46aba7d7655704f281d0e42_3369","d85e8842589287b51ccafc8c2ab682fd_4176","72423b0a20e1eaaa23e55b78118edd99_1119","0983e9ef5d2d51f2c7fe65caad871066_4190","071df2bd90ec8224320f416a082a7ee2_4284","f80477e6bb8d2c709ffd872956318dda_4421","29d2a391aac6e81216e86f42a012931d_4941","4903566b198540aa48641e5fce1361b3_4941"
"WP_000120830.1","","amino acid ABC transporter permease","10","10","1","1","1298","","","","641","641","641","4e0ebb2f352ce5f77c4dc810bc08f662_3972","5304d155c86e7e0505652cd3398fab91_2815","c9f86137e46aba7d7655704f281d0e42_1829","d85e8842589287b51ccafc8c2ab682fd_2695","72423b0a20e1eaaa23e55b78118edd99_2657","0983e9ef5d2d51f2c7fe65caad871066_2709","071df2bd90ec8224320f416a082a7ee2_2785","f80477e6bb8d2c709ffd872956318dda_2865","29d2a391aac6e81216e86f42a012931d_3181","4903566b198540aa48641e5fce1361b3_3181"
"rplN","","50S ribosomal protein L14","10","10","1","1","2091","","","","368","368","368","4e0ebb2f352ce5f77c4dc810bc08f662_1687","5304d155c86e7e0505652cd3398fab91_485","c9f86137e46aba7d7655704f281d0e42_3908","d85e8842589287b51ccafc8c2ab682fd_429","72423b0a20e1eaaa23e55b78118edd99_546","0983e9ef5d2d51f2c7fe65caad871066_429","071df2bd90ec8224320f416a082a7ee2_525","f80477e6bb8d2c709ffd872956318dda_453","29d2a391aac6e81216e86f42a012931d_589","4903566b198540aa48641e5fce1361b3_589"
"clpX","","ATP-dependent Clp protease ATP-binding subunit ClpX","10","10","1","1","1223","","","","1232","1232","1232","4e0ebb2f352ce5f77c4dc810bc08f662_4110","5304d155c86e7e0505652cd3398fab91_2951","c9f86137e46aba7d7655704f281d0e42_1967","d85e8842589287b51ccafc8c2ab682fd_2829","72423b0a20e1eaaa23e55b78118edd99_2521","0983e9ef5d2d51f2c7fe65caad871066_2843","071df2bd90ec8224320f416a082a7ee2_2913","f80477e6bb8d2c709ffd872956318dda_3004","29d2a391aac6e81216e86f42a012931d_3328","4903566b198540aa48641e5fce1361b3_3328"
"WP_000594204.1","","GNAT family N-acetyltransferase","10","10","1","1","1202","","","","203","203","203","4e0ebb2f352ce5f77c4dc810bc08f662_4151","5304d155c86e7e0505652cd3398fab91_2996","c9f86137e46aba7d7655704f281d0e42_2010","d85e8842589287b51ccafc8c2ab682fd_2872","72423b0a20e1eaaa23e55b78118edd99_2480","0983e9ef5d2d51f2c7fe65caad871066_2886","071df2bd90ec8224320f416a082a7ee2_2956","f80477e6bb8d2c709ffd872956318dda_3049","29d2a391aac6e81216e86f42a012931d_3379","4903566b198540aa48641e5fce1361b3_3379"
