"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10430","NCTC10444","NCTC10537","NCTC10973","NCTC11023","NCTC12655","NCTC9008","NCTC9022","NCTC9041","NCTC9054"
"WP_001311137.1","","flotillin family protein","10","10","1","1","1751","","","","1661","1661","1661","de5d112513ebace038d16be8aa9e1273_2449","2000d99c1a4f4644d4dc8bc5f335fcca_1430","8291d5e9ef160a270636991509e0e85c_1387","b1b2c14e5b2eae9d99465ee4aa5d53b7_1336","f95cc3601e9bedf7c0d3dbaf7722b312_1396","81c24e080905d6ecc25e00770222c603_1355","a963e031a0e9d0bd7ea9f5c201bde08a_1349","cf4339b1a0ea8d217cfa00a17e46d961_1377","6f47304ac79aadc337208f6d61504bf4_1367","65f1bac1425e1f84709282b5f5eed1ce_1407"
"WP_000183505.1","","transcriptional regulator","10","10","1","1","1787","","","","482","482","482","de5d112513ebace038d16be8aa9e1273_2520","2000d99c1a4f4644d4dc8bc5f335fcca_1475","8291d5e9ef160a270636991509e0e85c_1440","b1b2c14e5b2eae9d99465ee4aa5d53b7_1389","f95cc3601e9bedf7c0d3dbaf7722b312_1449","81c24e080905d6ecc25e00770222c603_1411","a963e031a0e9d0bd7ea9f5c201bde08a_1404","cf4339b1a0ea8d217cfa00a17e46d961_1450","6f47304ac79aadc337208f6d61504bf4_1420","65f1bac1425e1f84709282b5f5eed1ce_1474"
"yqhH","","lipoprotein YqhH","10","10","1","1","1800","","","","257","257","257","de5d112513ebace038d16be8aa9e1273_2546","2000d99c1a4f4644d4dc8bc5f335fcca_1487","8291d5e9ef160a270636991509e0e85c_1456","b1b2c14e5b2eae9d99465ee4aa5d53b7_1405","f95cc3601e9bedf7c0d3dbaf7722b312_1465","81c24e080905d6ecc25e00770222c603_1427","a963e031a0e9d0bd7ea9f5c201bde08a_1420","cf4339b1a0ea8d217cfa00a17e46d961_1476","6f47304ac79aadc337208f6d61504bf4_1436","65f1bac1425e1f84709282b5f5eed1ce_1484"
"WP_000691619.1","","YbjP/YqhG family protein","10","10","1","1","1801","","","","926","926","926","de5d112513ebace038d16be8aa9e1273_2548","2000d99c1a4f4644d4dc8bc5f335fcca_1489","8291d5e9ef160a270636991509e0e85c_1458","b1b2c14e5b2eae9d99465ee4aa5d53b7_1407","f95cc3601e9bedf7c0d3dbaf7722b312_1467","81c24e080905d6ecc25e00770222c603_1429","a963e031a0e9d0bd7ea9f5c201bde08a_1422","cf4339b1a0ea8d217cfa00a17e46d961_1478","6f47304ac79aadc337208f6d61504bf4_1438","65f1bac1425e1f84709282b5f5eed1ce_1486"
"fadK","","medium-chain fatty-acid--CoA ligase","10","10","1","1","738","","","","1496","1700","1668","de5d112513ebace038d16be8aa9e1273_5546","2000d99c1a4f4644d4dc8bc5f335fcca_4508","8291d5e9ef160a270636991509e0e85c_3968","b1b2c14e5b2eae9d99465ee4aa5d53b7_4132","f95cc3601e9bedf7c0d3dbaf7722b312_4232","81c24e080905d6ecc25e00770222c603_4104","a963e031a0e9d0bd7ea9f5c201bde08a_4291","cf4339b1a0ea8d217cfa00a17e46d961_4694","6f47304ac79aadc337208f6d61504bf4_4053","65f1bac1425e1f84709282b5f5eed1ce_5414"
"WP_000234514.1","","DUF554 domain-containing protein","10","10","1","1","8048","","","","707","707","707","de5d112513ebace038d16be8aa9e1273_2905","2000d99c1a4f4644d4dc8bc5f335fcca_1732","8291d5e9ef160a270636991509e0e85c_1643","b1b2c14e5b2eae9d99465ee4aa5d53b7_1506","f95cc3601e9bedf7c0d3dbaf7722b312_1586","81c24e080905d6ecc25e00770222c603_1520","a963e031a0e9d0bd7ea9f5c201bde08a_1541","cf4339b1a0ea8d217cfa00a17e46d961_1822","6f47304ac79aadc337208f6d61504bf4_1463","65f1bac1425e1f84709282b5f5eed1ce_1613"
"ansB","","L-asparaginase 2","10","10","1","1","403","","","","1046","1052","1046","de5d112513ebace038d16be8aa9e1273_2923","2000d99c1a4f4644d4dc8bc5f335fcca_1750","8291d5e9ef160a270636991509e0e85c_1661","b1b2c14e5b2eae9d99465ee4aa5d53b7_1524","f95cc3601e9bedf7c0d3dbaf7722b312_1604","81c24e080905d6ecc25e00770222c603_1538","a963e031a0e9d0bd7ea9f5c201bde08a_1559","cf4339b1a0ea8d217cfa00a17e46d961_1840","6f47304ac79aadc337208f6d61504bf4_1481","65f1bac1425e1f84709282b5f5eed1ce_1631"
"WP_000745210.1","","DUF1202 family protein","10","10","1","1","402","","","","1007","1007","1007","de5d112513ebace038d16be8aa9e1273_2925","2000d99c1a4f4644d4dc8bc5f335fcca_1752","8291d5e9ef160a270636991509e0e85c_1663","b1b2c14e5b2eae9d99465ee4aa5d53b7_1526","f95cc3601e9bedf7c0d3dbaf7722b312_1606","81c24e080905d6ecc25e00770222c603_1540","a963e031a0e9d0bd7ea9f5c201bde08a_1561","cf4339b1a0ea8d217cfa00a17e46d961_1842","6f47304ac79aadc337208f6d61504bf4_1483","65f1bac1425e1f84709282b5f5eed1ce_1633"
"hemW","","radical SAM family heme chaperone HemW","10","10","1","1","401","","","","1136","1136","1136","de5d112513ebace038d16be8aa9e1273_2927","2000d99c1a4f4644d4dc8bc5f335fcca_1754","8291d5e9ef160a270636991509e0e85c_1665","b1b2c14e5b2eae9d99465ee4aa5d53b7_1528","f95cc3601e9bedf7c0d3dbaf7722b312_1608","81c24e080905d6ecc25e00770222c603_1542","a963e031a0e9d0bd7ea9f5c201bde08a_1563","cf4339b1a0ea8d217cfa00a17e46d961_1844","6f47304ac79aadc337208f6d61504bf4_1485","65f1bac1425e1f84709282b5f5eed1ce_1641"
"WP_001326494.1","","type IV pilus twitching motility protein PilT","10","10","1","1","396","","","","980","980","980","de5d112513ebace038d16be8aa9e1273_2937","2000d99c1a4f4644d4dc8bc5f335fcca_1764","8291d5e9ef160a270636991509e0e85c_1675","b1b2c14e5b2eae9d99465ee4aa5d53b7_1538","f95cc3601e9bedf7c0d3dbaf7722b312_1618","81c24e080905d6ecc25e00770222c603_1552","a963e031a0e9d0bd7ea9f5c201bde08a_1573","cf4339b1a0ea8d217cfa00a17e46d961_1854","6f47304ac79aadc337208f6d61504bf4_1495","65f1bac1425e1f84709282b5f5eed1ce_1651"
"ruvX","","Holliday junction resolvase RuvX","10","10","1","1","395","","","","416","416","416","de5d112513ebace038d16be8aa9e1273_2939","2000d99c1a4f4644d4dc8bc5f335fcca_1766","8291d5e9ef160a270636991509e0e85c_1677","b1b2c14e5b2eae9d99465ee4aa5d53b7_1540","f95cc3601e9bedf7c0d3dbaf7722b312_1620","81c24e080905d6ecc25e00770222c603_1554","a963e031a0e9d0bd7ea9f5c201bde08a_1575","cf4339b1a0ea8d217cfa00a17e46d961_1856","6f47304ac79aadc337208f6d61504bf4_1497","65f1bac1425e1f84709282b5f5eed1ce_1653"
"WP_001303650.1","","hypothetical protein","10","10","1","1","387","","","","134","215","206","de5d112513ebace038d16be8aa9e1273_2957","2000d99c1a4f4644d4dc8bc5f335fcca_1782","8291d5e9ef160a270636991509e0e85c_1693","b1b2c14e5b2eae9d99465ee4aa5d53b7_1556","f95cc3601e9bedf7c0d3dbaf7722b312_1636","81c24e080905d6ecc25e00770222c603_1570","a963e031a0e9d0bd7ea9f5c201bde08a_1591","cf4339b1a0ea8d217cfa00a17e46d961_1872","6f47304ac79aadc337208f6d61504bf4_1513","65f1bac1425e1f84709282b5f5eed1ce_1671"
"yqgB","","acid stress response protein YqgB","10","10","1","1","385","","","","131","131","131","de5d112513ebace038d16be8aa9e1273_2959","2000d99c1a4f4644d4dc8bc5f335fcca_1784","8291d5e9ef160a270636991509e0e85c_1695","b1b2c14e5b2eae9d99465ee4aa5d53b7_1558","f95cc3601e9bedf7c0d3dbaf7722b312_1638","81c24e080905d6ecc25e00770222c603_1572","a963e031a0e9d0bd7ea9f5c201bde08a_1593","cf4339b1a0ea8d217cfa00a17e46d961_1874","6f47304ac79aadc337208f6d61504bf4_1515","65f1bac1425e1f84709282b5f5eed1ce_1673"
"loiP","","metalloprotease LoiP","10","10","1","1","382","","","","758","758","758","de5d112513ebace038d16be8aa9e1273_2967","2000d99c1a4f4644d4dc8bc5f335fcca_1795","8291d5e9ef160a270636991509e0e85c_1701","b1b2c14e5b2eae9d99465ee4aa5d53b7_1564","f95cc3601e9bedf7c0d3dbaf7722b312_1644","81c24e080905d6ecc25e00770222c603_1578","a963e031a0e9d0bd7ea9f5c201bde08a_1599","cf4339b1a0ea8d217cfa00a17e46d961_1882","6f47304ac79aadc337208f6d61504bf4_1521","65f1bac1425e1f84709282b5f5eed1ce_1679"
"WP_001050745.1","","hypothetical protein","10","10","1","1","329","","","","122","125","124","de5d112513ebace038d16be8aa9e1273_3073","2000d99c1a4f4644d4dc8bc5f335fcca_1914","8291d5e9ef160a270636991509e0e85c_1803","b1b2c14e5b2eae9d99465ee4aa5d53b7_1698","f95cc3601e9bedf7c0d3dbaf7722b312_1754","81c24e080905d6ecc25e00770222c603_1682","a963e031a0e9d0bd7ea9f5c201bde08a_1701","cf4339b1a0ea8d217cfa00a17e46d961_1988","6f47304ac79aadc337208f6d61504bf4_1623","65f1bac1425e1f84709282b5f5eed1ce_1793"
"WP_000838428.1","","4Fe-4S dicluster domain-containing protein","10","10","1","1","326","","","","488","488","488","de5d112513ebace038d16be8aa9e1273_3079","2000d99c1a4f4644d4dc8bc5f335fcca_1920","8291d5e9ef160a270636991509e0e85c_1809","b1b2c14e5b2eae9d99465ee4aa5d53b7_1704","f95cc3601e9bedf7c0d3dbaf7722b312_1760","81c24e080905d6ecc25e00770222c603_1688","a963e031a0e9d0bd7ea9f5c201bde08a_1707","cf4339b1a0ea8d217cfa00a17e46d961_1994","6f47304ac79aadc337208f6d61504bf4_1629","65f1bac1425e1f84709282b5f5eed1ce_1799"
"xdhC","","xanthine dehydrogenase iron sulfur-binding subunit XdhC","10","10","1","1","309","","","","479","479","479","de5d112513ebace038d16be8aa9e1273_3113","2000d99c1a4f4644d4dc8bc5f335fcca_1954","8291d5e9ef160a270636991509e0e85c_1843","b1b2c14e5b2eae9d99465ee4aa5d53b7_1738","f95cc3601e9bedf7c0d3dbaf7722b312_1794","81c24e080905d6ecc25e00770222c603_1722","a963e031a0e9d0bd7ea9f5c201bde08a_1741","cf4339b1a0ea8d217cfa00a17e46d961_2028","6f47304ac79aadc337208f6d61504bf4_1663","65f1bac1425e1f84709282b5f5eed1ce_1839"
"xdhB","","xanthine dehydrogenase FAD-binding subunit XdhB","10","10","1","1","308","","","","878","878","878","de5d112513ebace038d16be8aa9e1273_3115","2000d99c1a4f4644d4dc8bc5f335fcca_1956","8291d5e9ef160a270636991509e0e85c_1845","b1b2c14e5b2eae9d99465ee4aa5d53b7_1740","f95cc3601e9bedf7c0d3dbaf7722b312_1796","81c24e080905d6ecc25e00770222c603_1724","a963e031a0e9d0bd7ea9f5c201bde08a_1743","cf4339b1a0ea8d217cfa00a17e46d961_2030","6f47304ac79aadc337208f6d61504bf4_1665","65f1bac1425e1f84709282b5f5eed1ce_1841"
"WP_000065950.1","","HAAAP family serine/threonine permease","10","10","1","1","177","","","","1118","1229","1217","de5d112513ebace038d16be8aa9e1273_3124","2000d99c1a4f4644d4dc8bc5f335fcca_2031","8291d5e9ef160a270636991509e0e85c_1862","b1b2c14e5b2eae9d99465ee4aa5d53b7_1807","f95cc3601e9bedf7c0d3dbaf7722b312_1905","81c24e080905d6ecc25e00770222c603_1766","a963e031a0e9d0bd7ea9f5c201bde08a_1806","cf4339b1a0ea8d217cfa00a17e46d961_2039","6f47304ac79aadc337208f6d61504bf4_1726","65f1bac1425e1f84709282b5f5eed1ce_1910"
"WP_000857051.1","","prepilin peptidase-dependent protein","10","10","1","1","156","","","","470","471","470","de5d112513ebace038d16be8aa9e1273_3166","2000d99c1a4f4644d4dc8bc5f335fcca_2069","8291d5e9ef160a270636991509e0e85c_1900","b1b2c14e5b2eae9d99465ee4aa5d53b7_1845","f95cc3601e9bedf7c0d3dbaf7722b312_1943","81c24e080905d6ecc25e00770222c603_1804","a963e031a0e9d0bd7ea9f5c201bde08a_1844","cf4339b1a0ea8d217cfa00a17e46d961_2077","6f47304ac79aadc337208f6d61504bf4_1764","65f1bac1425e1f84709282b5f5eed1ce_1950"
"WP_001276460.1","","prepilin-type N-terminal cleavage/methylation domain-containing protein","10","10","1","1","153","","","","323","323","323","de5d112513ebace038d16be8aa9e1273_3172","2000d99c1a4f4644d4dc8bc5f335fcca_2075","8291d5e9ef160a270636991509e0e85c_1906","b1b2c14e5b2eae9d99465ee4aa5d53b7_1851","f95cc3601e9bedf7c0d3dbaf7722b312_1949","81c24e080905d6ecc25e00770222c603_1810","a963e031a0e9d0bd7ea9f5c201bde08a_1850","cf4339b1a0ea8d217cfa00a17e46d961_2083","6f47304ac79aadc337208f6d61504bf4_1770","65f1bac1425e1f84709282b5f5eed1ce_1956"
"WP_000206990.1","","YqcC family protein","10","10","1","1","90","","","","329","329","329","de5d112513ebace038d16be8aa9e1273_3285","2000d99c1a4f4644d4dc8bc5f335fcca_2140","8291d5e9ef160a270636991509e0e85c_1983","b1b2c14e5b2eae9d99465ee4aa5d53b7_1916","f95cc3601e9bedf7c0d3dbaf7722b312_2014","81c24e080905d6ecc25e00770222c603_1875","a963e031a0e9d0bd7ea9f5c201bde08a_1915","cf4339b1a0ea8d217cfa00a17e46d961_2196","6f47304ac79aadc337208f6d61504bf4_1835","65f1bac1425e1f84709282b5f5eed1ce_2082"
"WP_000807753.1","","flavodoxin","10","10","1","1","88","","","","449","449","449","de5d112513ebace038d16be8aa9e1273_3289","2000d99c1a4f4644d4dc8bc5f335fcca_2144","8291d5e9ef160a270636991509e0e85c_1987","b1b2c14e5b2eae9d99465ee4aa5d53b7_1920","f95cc3601e9bedf7c0d3dbaf7722b312_2018","81c24e080905d6ecc25e00770222c603_1879","a963e031a0e9d0bd7ea9f5c201bde08a_1919","cf4339b1a0ea8d217cfa00a17e46d961_2200","6f47304ac79aadc337208f6d61504bf4_1839","65f1bac1425e1f84709282b5f5eed1ce_2086"
"WP_000235391.1","","glucarate dehydratase-related protein","10","10","1","1","86","","","","1340","1340","1340","de5d112513ebace038d16be8aa9e1273_3293","2000d99c1a4f4644d4dc8bc5f335fcca_2148","8291d5e9ef160a270636991509e0e85c_1991","b1b2c14e5b2eae9d99465ee4aa5d53b7_1924","f95cc3601e9bedf7c0d3dbaf7722b312_2022","81c24e080905d6ecc25e00770222c603_1883","a963e031a0e9d0bd7ea9f5c201bde08a_1923","cf4339b1a0ea8d217cfa00a17e46d961_2204","6f47304ac79aadc337208f6d61504bf4_1843","65f1bac1425e1f84709282b5f5eed1ce_2090"
"WP_000015497.1","","nitrous oxide-stimulated promoter family protein","10","10","1","1","3341","","","","344","353","350","de5d112513ebace038d16be8aa9e1273_3397","2000d99c1a4f4644d4dc8bc5f335fcca_2266","8291d5e9ef160a270636991509e0e85c_2095","b1b2c14e5b2eae9d99465ee4aa5d53b7_2028","f95cc3601e9bedf7c0d3dbaf7722b312_2126","81c24e080905d6ecc25e00770222c603_1999","a963e031a0e9d0bd7ea9f5c201bde08a_2051","cf4339b1a0ea8d217cfa00a17e46d961_2306","6f47304ac79aadc337208f6d61504bf4_1965","65f1bac1425e1f84709282b5f5eed1ce_2202"
"hycF","","formate hydrogenlyase subunit HycF","10","10","1","1","3389","","","","542","542","542","de5d112513ebace038d16be8aa9e1273_3425","2000d99c1a4f4644d4dc8bc5f335fcca_2292","8291d5e9ef160a270636991509e0e85c_2119","b1b2c14e5b2eae9d99465ee4aa5d53b7_2052","f95cc3601e9bedf7c0d3dbaf7722b312_2150","81c24e080905d6ecc25e00770222c603_2023","a963e031a0e9d0bd7ea9f5c201bde08a_2075","cf4339b1a0ea8d217cfa00a17e46d961_2440","6f47304ac79aadc337208f6d61504bf4_1989","65f1bac1425e1f84709282b5f5eed1ce_2226"
"hycI","","hydrogenase maturation peptidase HycI","10","10","1","1","3393","","","","470","470","470","de5d112513ebace038d16be8aa9e1273_3431","2000d99c1a4f4644d4dc8bc5f335fcca_2298","8291d5e9ef160a270636991509e0e85c_2125","b1b2c14e5b2eae9d99465ee4aa5d53b7_2058","f95cc3601e9bedf7c0d3dbaf7722b312_2156","81c24e080905d6ecc25e00770222c603_2029","a963e031a0e9d0bd7ea9f5c201bde08a_2081","cf4339b1a0ea8d217cfa00a17e46d961_2446","6f47304ac79aadc337208f6d61504bf4_1995","65f1bac1425e1f84709282b5f5eed1ce_2232"
"gutQ","","arabinose-5-phosphate isomerase GutQ","10","10","1","1","3403","","","","965","965","965","de5d112513ebace038d16be8aa9e1273_3453","2000d99c1a4f4644d4dc8bc5f335fcca_2316","8291d5e9ef160a270636991509e0e85c_2143","b1b2c14e5b2eae9d99465ee4aa5d53b7_2076","f95cc3601e9bedf7c0d3dbaf7722b312_2174","81c24e080905d6ecc25e00770222c603_2049","a963e031a0e9d0bd7ea9f5c201bde08a_2099","cf4339b1a0ea8d217cfa00a17e46d961_2466","6f47304ac79aadc337208f6d61504bf4_2013","65f1bac1425e1f84709282b5f5eed1ce_2258"
"srlE","","PTS glucitol/sorbitol transporter subunit IIB","10","10","1","1","3408","","","","959","959","959","de5d112513ebace038d16be8aa9e1273_3463","2000d99c1a4f4644d4dc8bc5f335fcca_2326","8291d5e9ef160a270636991509e0e85c_2153","b1b2c14e5b2eae9d99465ee4aa5d53b7_2086","f95cc3601e9bedf7c0d3dbaf7722b312_2184","81c24e080905d6ecc25e00770222c603_2059","a963e031a0e9d0bd7ea9f5c201bde08a_2109","cf4339b1a0ea8d217cfa00a17e46d961_2476","6f47304ac79aadc337208f6d61504bf4_2023","65f1bac1425e1f84709282b5f5eed1ce_2268"
"emrB","","multidrug efflux MFS transporter permease subunit EmrB","10","10","1","1","3420","","","","1496","1538","1533","de5d112513ebace038d16be8aa9e1273_3506","2000d99c1a4f4644d4dc8bc5f335fcca_2365","8291d5e9ef160a270636991509e0e85c_2192","b1b2c14e5b2eae9d99465ee4aa5d53b7_2125","f95cc3601e9bedf7c0d3dbaf7722b312_2223","81c24e080905d6ecc25e00770222c603_2098","a963e031a0e9d0bd7ea9f5c201bde08a_2148","cf4339b1a0ea8d217cfa00a17e46d961_2519","6f47304ac79aadc337208f6d61504bf4_2062","65f1bac1425e1f84709282b5f5eed1ce_2307"
"ygaH","","L-valine transporter subunit YgaH","10","10","1","1","3424","","","","329","335","334","de5d112513ebace038d16be8aa9e1273_3512","2000d99c1a4f4644d4dc8bc5f335fcca_2373","8291d5e9ef160a270636991509e0e85c_2200","b1b2c14e5b2eae9d99465ee4aa5d53b7_2131","f95cc3601e9bedf7c0d3dbaf7722b312_2229","81c24e080905d6ecc25e00770222c603_2106","a963e031a0e9d0bd7ea9f5c201bde08a_2156","cf4339b1a0ea8d217cfa00a17e46d961_2527","6f47304ac79aadc337208f6d61504bf4_2070","65f1bac1425e1f84709282b5f5eed1ce_2313"
"nrdF","","class 1b ribonucleoside-diphosphate reductase subunit beta","10","10","1","1","3430","","","","959","959","959","de5d112513ebace038d16be8aa9e1273_3526","2000d99c1a4f4644d4dc8bc5f335fcca_2385","8291d5e9ef160a270636991509e0e85c_2212","b1b2c14e5b2eae9d99465ee4aa5d53b7_2143","f95cc3601e9bedf7c0d3dbaf7722b312_2241","81c24e080905d6ecc25e00770222c603_2118","a963e031a0e9d0bd7ea9f5c201bde08a_2168","cf4339b1a0ea8d217cfa00a17e46d961_2539","6f47304ac79aadc337208f6d61504bf4_2082","65f1bac1425e1f84709282b5f5eed1ce_2325"
"nrdH","","glutaredoxin-like protein NrdH","10","10","1","1","3435","","","","221","245","242","de5d112513ebace038d16be8aa9e1273_3532","2000d99c1a4f4644d4dc8bc5f335fcca_2391","8291d5e9ef160a270636991509e0e85c_2218","b1b2c14e5b2eae9d99465ee4aa5d53b7_2149","f95cc3601e9bedf7c0d3dbaf7722b312_2247","81c24e080905d6ecc25e00770222c603_2124","a963e031a0e9d0bd7ea9f5c201bde08a_2174","cf4339b1a0ea8d217cfa00a17e46d961_2545","6f47304ac79aadc337208f6d61504bf4_2088","65f1bac1425e1f84709282b5f5eed1ce_2331"
"alaE","","L-alanine exporter AlaE","10","10","1","1","3438","","","","191","449","423","de5d112513ebace038d16be8aa9e1273_3542","2000d99c1a4f4644d4dc8bc5f335fcca_2397","8291d5e9ef160a270636991509e0e85c_2224","b1b2c14e5b2eae9d99465ee4aa5d53b7_2155","f95cc3601e9bedf7c0d3dbaf7722b312_2253","81c24e080905d6ecc25e00770222c603_2130","a963e031a0e9d0bd7ea9f5c201bde08a_2180","cf4339b1a0ea8d217cfa00a17e46d961_2555","6f47304ac79aadc337208f6d61504bf4_2094","65f1bac1425e1f84709282b5f5eed1ce_2339"
